Date,Content,Created by,Labels,Views,Avg. percentage viewed,Likes,Dislikes,Comments,Shares,Added to a playlist,Removed from a playlist,Subscribers gained,Subscribers lost,Total engagement,Url
12/01/2019 08:14 PM AEDT +1100,"If we stop eating animal products, we can reduce the amount of farmland we need by 75%.
  Listen to Kimaya and go vegan today!
  Download a free VEGAN STARTER KIT at: https://www.genv.org/go-vegan/  We partnered with Animal Hero Kids to create our 'Kids Say The Smartest Things' videos. Please visit: https://animalherokids.org/   References: https://www.fia.fs.fed.us/library/brochures/docs/2012/ForestFacts_1952-2012_English.pdf https://www.youtube.com/watch?v=qLkqkyTMLlw
 https://www.theguardian.com/environment/2018/may/31/avoiding-meat-and-dairy-is-single-biggest-way-to-reduce-your-impact-on-earth",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=7XWv_yvUplc
12/01/2019 08:18 PM AEDT +1100,"As a hard-working nurse, Michelle didn’t give much thought to what she ate until her heart started racing, and she found herself barrelling towards the edge of a cliff. The doctor told her she could “slow things down” with medication, but Michelle didn’t want to slow things down - she wanted to change direction.  All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://genv.org/why-vegan/for-your-health/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://genv.org/why-vegan/for-your-health/
  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=O_AASL4tfEY
12/01/2019 08:18 PM AEDT +1100,"Though Terry grew up hunting and only befriending other hunters, he always felt a pang of guilt when pulling the trigger. Throughout his years spent tracking and shooting wild animals, the culmination of the gruesome things he saw finally moved him to put down the gun and turn his back on the only life he’d ever known.  All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://www.genv.org/make-america-healthy-again/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://www.genv.org/get-healthy/
  The Animal Hero Kids are asking President Trump to go vegan for January. These amazing American kids want to tell the world why being vegan is the kindest, coolest, healthiest way to live: https://www.genv.org/the-kids/
  The United States is the world’s most patriotic country, known globally for our national pride and devotion to our country, and our veterans are the most patriotic of all. They have risked everything to defend America. Watch these veterans’ stories…: https://www.genv.org/the-veterans/
  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=CGkFx-QX6EI
12/01/2019 08:18 PM AEDT +1100,"After a late-stage ovarian cancer diagnosis, Sally underwent surgery and chemotherapy and switched to a plant-based diet. 12 years on and cancer-free, her book, Beyond Cancer, describes how she used food to reclaim her life.   All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://www.genv.org/make-america-healthy-again/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://www.genv.org/get-healthy/
  The Animal Hero Kids are asking President Trump to go vegan for January. These amazing American kids want to tell the world why being vegan is the kindest, coolest, healthiest way to live: https://www.genv.org/the-kids/
  The United States is the world’s most patriotic country, known globally for our national pride and devotion to our country, and our veterans are the most patriotic of all. They have risked everything to defend America. Watch these veterans’ stories…: https://www.genv.org/the-veterans/
  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=0Lwe3VFxSu8
12/01/2019 08:19 PM AEDT +1100,"As a Navy Clearance Diver and Special Operations sniper, Damien completed 12 tours in Iraq before a trip to Africa inspired him to found the International Anti-Poaching Foundation (IAPF). Soon after, Damien decided that, as a meat-eater, he was no better than a poacher, and immediately went vegan.   All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://www.genv.org/make-america-healthy-again/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://www.genv.org/get-healthy/
  The Animal Hero Kids are asking President Trump to go vegan for January. These amazing American kids want to tell the world why being vegan is the kindest, coolest, healthiest way to live: https://www.genv.org/the-kids/
  The United States is the world’s most patriotic country, known globally for our national pride and devotion to our country, and our veterans are the most patriotic of all. They have risked everything to defend America. Watch these veterans’ stories…: https://www.genv.org/the-veterans/
  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=07YDR1HrZh4
12/01/2019 08:20 PM AEDT +1100,"Former American College of Cardiology President Kim Williams is the current Chief of the Division of Cardiology at Rush University Medical Center, as well as one of the most inspiring, intelligent and pioneering leaders in the growing movement to modernize how we think about, treat, avoid, and prevent our most onerous threat to human health.  All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://genv.org/why-vegan/for-your-health/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://genv.org/why-vegan/for-your-health/  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=lBobh2b4jpw
12/01/2019 08:20 PM AEDT +1100,"Dr. Jenkins, a University Professor of Nutritional Sciences, is famous for developing the concept of the Glycemic Index: a way of explaining how dietary carbohydrate impacts blood sugar. Dr. Jenkins advocates that a plant-based vegan lifestyle is the absolute best lifestyle for both human and planetary health.  All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://genv.org/why-vegan/for-your-health/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://genv.org/why-vegan/for-your-health/  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=MbStQUuXxYA
12/01/2019 08:21 PM AEDT +1100,"Star of The Game Changers documentary, Dr. Dean Ornish is one of the most prominent physicians, scientific researchers and clinical professors in the world. His Ornish Lifestyle Program, which supports cardiovascular disease patients through lifestyle changes and the transition to a plant-based diet, is used to effectively treat and reverse heart disease by hospitals across America.  All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://genv.org/why-vegan/for-your-health/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://genv.org/why-vegan/for-your-health/  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=WIkzYujD3CM
12/01/2019 08:21 PM AEDT +1100,"Renowned bariatric surgeon Dr. Garth Davis frequently lectures on the importance of a plant-based diet and is dedicated to helping people discover the foods and behaviors that can lead to a healthy, happy life. His must-read book, Proteinaholic, explores how our unhealthy obsession with animal-protein is killing us.  All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://genv.org/why-vegan/for-your-health/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://genv.org/why-vegan/for-your-health/  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=B18S3MibqjU
12/01/2019 08:22 PM AEDT +1100,"Vegan triathlete Dom wasn’t always a shining example of health. He was once part of a criminal gang, overweight, and on a path to self-destruction before a stint in prison prompted him to eliminate all harmful things from his life - including animal products.  All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://genv.org/why-vegan/for-your-health/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://genv.org/why-vegan/for-your-health/  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/  Eat What Elephants Eat: https://kitchen.eatwhatelephantseat.com/  Crazies & Weirdos: http://www.craziesandweirdos.com/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=0sR8TN2FmsA
12/01/2019 08:22 PM AEDT +1100,"In addition to founding NutritionFacts.org, Dr. Michael Greger is a physician and famed speaker on nutrition, food safety, and public health. A Fellow of the American College of Lifestyle Medicine and recipient of the ACLM Lifestyle Medicine Trailblazer Award, his book - How Not to Die - is an acclaimed New York Times Best Seller.   All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://genv.org/why-vegan/for-your-health/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://genv.org/why-vegan/for-your-health/  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/  How Not To Die: https://nutritionfacts.org/book/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=uaeEmohRrzA
12/04/2019 10:54 PM AEDT +1100,"Gastroenterology specialist Dr. Angie Sadeghi is committed to delivering the highest quality of care to her patients. In order to do that, she strongly advocates for the elimination of animal products - particularly dairy - from the diet of anyone suffering from inflammatory bowel disease or other gastrointestinal issues.  All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://www.genv.org/make-america-healthy-again/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://www.genv.org/get-healthy/
  The Animal Hero Kids are asking President Trump to go vegan for January. These amazing American kids want to tell the world why being vegan is the kindest, coolest, healthiest way to live: https://www.genv.org/the-kids/
  The United States is the world’s most patriotic country, known globally for our national pride and devotion to our country, and our veterans are the most patriotic of all. They have risked everything to defend America. Watch these veterans’ stories…: https://www.genv.org/the-veterans/
  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=MFQ6FtXEz2s
12/09/2019 09:10 PM AEDT +1100,"With his rock band No Doubt, musician Tony Kanal has sold over 33 million records worldwide. He chose to go vegan “for the animals” over 7 years ago, and loves contributing to a better world for animals wherever and whenever he can.  All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://www.genv.org/make-america-healthy-again/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://www.genv.org/get-healthy/
  The United States is the world’s most patriotic country, known globally for our national pride and devotion to our country, and our veterans are the most patriotic of all. They have risked everything to defend America. Watch these veterans’ stories…: https://www.genv.org/the-veterans/
  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=oF3gyjiLqHU
12/09/2019 09:17 PM AEDT +1100,"In 2009, Donta Harris had a spontaneous pneumothorax and ended up in hospital fighting for his life. After initially going vegan for his health, Donta soon discovered the athletic-recovery, environmental, and ethical benefits to veganism as well.   All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://www.genv.org/make-america-healthy-again/
  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://www.genv.org/get-healthy/
  The United States is the world’s most patriotic country, known globally for our national pride and devotion to our country, and our veterans are the most patriotic of all. They have risked everything to defend America. Watch these veterans’ stories…: https://www.genv.org/the-veterans/
  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=OanqabDoTDI
12/20/2019 00:56 PM AEDT +1100,"Olympic gold medalist, Vietnam Army veteran, and Bronze Star recipient Dr. Caldwell B. Esselstyn is better known for pioneering the treatment and reversal of cardiovascular disease through a whole food plant-based diet.  All across the world, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too.  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://genv.org/why-vegan/for-your-health/  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=27gNVnxN_pw
12/20/2019 01:03 PM AEDT +1100,"In 2010, Pilar was diagnosed with stage 3 ovarian cancer and had a complete hysterectomy. In 2014, she found out the cancer had spread to her liver, pelvis and colon. That’s when she chose to focus on her diet and lifestyle instead.  All across the United States, people are transforming their lives with a plant-based diet. They are beating heart disease, type 2 diabetes, depression, obesity and cancer, and they want you to know that trying a vegan diet could change – or save – your life, too:  https://www.genv.org/make-america-healthy-again/  As well as containing refined oils and added sugars, the Standard American diet is typically heavy in meat, eggs and dairy, and is low in fruits, vegetables and whole grains. As a result, we are seeing a growing crisis of chronic disease, including some of the world’s biggest killers. Check out the testimony of a growing number of plant-based doctors who are promoting the healthcare benefits of a whole food plant-based diet: https://www.genv.org/get-healthy/  The United States is the world’s most patriotic country, known globally for our national pride and devotion to our country, and our veterans are the most patriotic of all. They have risked everything to defend America. Watch these veterans’ stories…: https://www.genv.org/the-veterans/  Join our vegan pledge to receive 31 inspirational daily newsletters and get access to our exclusive Vegan Starter Kit, delicious plant-based recipes and our comprehensive Health & Nutrition Guide. All this is FREE at: https://www.genv.org/go-vegan/",,,0,-,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=U0JfnT1gtmE
01/07/2024 08:15 AM AEDT +1100,"A Fuga das Galinhas 2 não é apenas um filme, mas um grito pela libertação animal! 🐔✊  Embarque nesta aventura com nossos valentes amigos de penas enquanto eles se libertam das gaiolas e se unem por um mundo onde todas as criaturas merecem liberdade.   🐔🎬 A Fuga das Galinhas: A Ameaça dos Nuggets é um apelo pela compaixão, igualdade e libertação de todos os seres.  #fugadasgalinhas #afugadasgalinhas #veganismo",,,8,55.88999999999999,2,0,0,0,0,0,0,0,2,https://www.youtube.com/watch?v=MgWMr5JTVqc
01/11/2024 08:00 AM AEDT +1100,"🍼💔 Separados de suas mães logo após o nascimento e isolados em jaulas, esses bezerros buscam desesperadamente o conforto uns nos outros.   #ParaTodesVerem: dois bezerros aparecem aprisionados. Eles estão com a cabeça para fora da grade e interagem segurando o focinho um do outro com a boca.",,,149,56.279999999999994,1,0,0,0,0,0,0,0,1,https://www.youtube.com/watch?v=kUvMxIJWEDw
01/16/2024 08:00 AM AEDT +1100,O leite de arroz é barato e simples de fazer! 🌱🥛  INGREDIENTES  1 xícara de arroz  950ml de água  2 tâmaras sem caroço ou melaço de cana a gosto 1 pitada de sal   MODO DE PREPARO 1. Deixe o arroz de molho na água por duas horas e escorra a água em seguida.  2. Deixe as tâmaras de molho na água por duas horas. 3. Coloque o arroz e as tâmaras no processador com a água e o sal.  4. Processe por cerca de um minuto até adquirir consistência grossa e cremosa.  5. Coe a mistura com um voal (ou um pano fino limpo) para filtrar qualquer resíduo sólido. Esprema a polpa para retirar o leite.  6. Engarrafe o leite e deixe refrigerar.  Visite GeracaoV.org para descobrir como preparar outros tipos de leites vegetais e uma variedade de pratos à base de plantas.   Qual é o seu leite vegetal favorito? Conta para a gente nos comentários 👇🏽  #ParaTodesVerem: o vídeo apresenta um homem seguindo a receita do leite de arroz conforme instruções no modo de preparo.  #LeiteVegetal #LeiteDeArroz #LeiteVegano #ReceitaVegana,,,6,127.59,2,0,0,0,0,0,0,0,2,https://www.youtube.com/watch?v=_o1VZOV7uqA
01/18/2024 08:00 AM AEDT +1100,"O começo do ano é perfeito para iniciar um novo hábito. Mais do que adotar o veganismo, queremos te ajudar a CONTINUAR vegane.   Tudo pronto para começar uma vida de compaixão? 💛⚡  Considere o veganismo! Dê uma chance ao nosso programa gratuito de 30 dias em GeracaoV.org/go-vegan  #veganismo #anonovo #novoshábitos",,,7,88.81,3,0,0,0,0,0,0,0,3,https://www.youtube.com/watch?v=w5kf4oTheMA
01/26/2024 08:23 AM AEDT +1100,"As pessoas veganas não são perfeitas, e nem se dizem ser. Mas em um mundo cheio de crueldade — industrializada e naturalizada —, pessoas veganas fazem um esforço para não contribuir com o sofrimento animal.   Você vai escolher não maltratar os animais hoje?   #ParaTodesVerem: vídeo mostra a seguinte frase creditada a Mark Hawthorne: “O veganismo não é uma promessa de perfeição; é uma promessa de dar o seu melhor”, além de diversos animais como porcos, galinhas, perus e vacas em diferentes situações, tanto recebendo carinhos de defensores dos animais quanto em momentos difíceis na indústria pecuária.  #veganismo #amoanimais #amoraosanimais",,,83,64.06,6,0,0,0,0,0,1,0,6,https://www.youtube.com/watch?v=qREnF7hzrik
01/28/2024 02:00 AM AEDT +1100,"Estes porquinhos felizes estão se divertindo muito! 🐷  Apesar de esses animais terem a oportunidade de se divertir, a maioria dos porcos passa a vida inteira em espaços apertados e imundos em fazendas industriais antes de uma longa e assustadora viagem ao matadouro.   Nunca vamos parar de lutar por um mundo onde todos os seres possam experimentar a liberdade. 💛  #ParaTodesVerem: porquinhos correm felizes em um pequeno lago.  #amoanimais #amoraosanimais #animaisfofos",,,3,112.99999999999999,1,0,0,0,0,0,0,0,1,https://www.youtube.com/watch?v=BsziazyCm1o
01/30/2024 08:00 AM AEDT +1100,"O leite não é inofensivo. 🥛  Algumas coisas que você deveria saber sobre a indústria do leite:  🥛 Vacas são forçadas a engravidarem repetidamente.  🥛 Elas são separadas de seus filhotes e demonstram extremo sofrimento com essa separação.  🥛 Quando não conseguem mais produzir tanto leite, são levadas para a morte no matadouro.  🐮 É preciso repensar o consumo de laticínios e considerar alternativas à base de plantas.   Inscreva-se no nosso programa gratuito de veganismo #PelosAnimais em GeracaoV.org/go-vegan.  #ParaTodesVerem: vídeo revela vacas exploradas pela indústria do leite, mostrando confinamento e sinais visíveis de estresse. Durante o vídeo, aparece o texto “A vida de uma vaca na indústria leiteira é tão desgastante física e emocionalmente que as mães muitas vezes colapsam por volta dos 6 anos, quando poderiam viver até os 20.’’ Ao final, aparecem duas vacas livres e o texto “Considere o veganismo”.  #Leite #PecuáriaLeiteira #LeitesVegetais #Veganismo",,,63,87.36,2,0,0,0,0,0,0,0,2,https://www.youtube.com/watch?v=pM97TyHLc2E
02/02/2024 03:13 AM AEDT +1100,"Amor em ação! 💚🐄  Resgatados da indústria do leite e da carne pelo @ahimsa.santuariovaledarainha, esses bebês tiveram a chance de conhecer o amor, cuidado e segurança.  Dê uma chance à compaixão. Considere o veganismo.🌱  #ParaTodesVerem: dois bezerros, um com pelagem bege e outro com pelagem branca, repousam lado a lado. O bezerro bege acaricia e lambe carinhosamente o companheiro.  #Veganismo #LeiteVegetal #Leite #SemLeite #AmoAnimais #AnimaisFofos",,,197,239.02,7,1,1,0,0,0,0,0,8,https://www.youtube.com/watch?v=foAmRH9Qf20
02/07/2024 02:36 AM AEDT +1100,"Quem também bocejou? ☝️  Infelizmente, esta onça-pintada, símbolo da nossa fauna, está perdendo seu lar. O motivo? A pecuária.  Áreas inteiras de florestas foram destruídas para dar lugar a pastos e a plantações de monoculturas, principalmente soja e milho, destinadas à ração de animais na indústria.  Descubra nosso blog sobre os impactos da pecuária no meio ambiente e na vida de animais selvagens para saber mais 👇🏽  https://genv.org/pt-br/carne-desmatamento-extincao-vegan/  Escolha proteger os animais e a natureza. Escolha o veganismo. 🌱 🎥 Crédito: @gufigueiroa 📍 Pantanal, Brazil.  #ParaTodesVerem: uma onça-pintada boceja.  #Pantanal #OnçaPintada #Veganismo #Sustentabilidade #Queimadas",,,13,123.1,1,0,0,0,0,0,0,0,1,https://www.youtube.com/watch?v=V1LhSgi9-PM
02/14/2024 02:00 AM AEDT +1100,🎉 Não se esqueça: hidrate-se nesse carnaval! 💦  Manda esse lembrete para aquela pessoa que você sabe que vai aproveitar muito os bloquinhos! 💃🕺🎊  📹: @peacefield.farm  #ParaTodesVerem: bois marrons bebem água diretamente de uma mangueira.  #Carnaval #Bloco #Carnaval2024 #DicasCarnaval #AmoAnimais #CarnavalVegano,,,12,43.31,2,0,0,0,0,0,0,0,2,https://www.youtube.com/watch?v=Gsf4cZlguHg
02/19/2024 11:21 PM AEDT +1100,"Junte-se a nós para ajudar as Búfalas de Brotas!🐃 #AjudeAsBúfalasDeBrotas  É isso mesmo, a Geração Vegana vai doar 1 dólar para os santuários Vale da Rainha e Rancho dos Gnomos por cada inscrição em um de seus programas gratuitos sobre veganismo. ⚡  Se você deseja experimentar o veganismo pelos animais, pelo planeta, pela humanidade, pela sua saúde ou até mesmo por motivos espirituais, eles têm um programa para você. E o melhor de tudo: é grátis, e você ainda vai ajudar as Búfalas de Brotas 🌱💚  Acesse https://geracaov.org/bufalas/ e inscreva-se agora!  #ParaTodesVerem: vídeo mostra Maria Casadevall, uma mulher branca de cabelos curtos, lisos e escuros, e Patrícia Varela, uma mulher branca de cabelos longos e grisalhos e que usa óculos de grau. Também há imagens das búfalas de Brotas chegando no santuário Vale da Rainha e de pessoas interagindo com os animais.",,,32,54.339999999999996,6,0,1,4,0,0,3,0,11,https://www.youtube.com/watch?v=YOgx_ifEf_o
02/23/2024 02:00 AM AEDT +1100,"Uma mãe vaca corre atrás do seu bebê, mais duas vítimas da separação forçada que é rotina nas fazendas leiteiras.   Como sorvete e queijo podem valer tanto sofrimento? 💔🐮  #ParaTodesVerem: uma vaca corre atrás de um carro que transporta seu filhote, um bezerro deitado na parte traseira do veículo.  #Leite #Queijo #Vaca #Vacas #Veganismo",,,13,102.22,3,0,0,1,0,0,0,0,4,https://www.youtube.com/watch?v=qDpstm4EieY
