Date,Content,Created by,Labels,Reach,Completion rate (%),Video replays,Watched fully,Engagement,Engagement rate per impression (%),Engagement rate per reach (%),Impressions,Url
07/12/2024 03:29 PM EDT -0400,"Did you know that sea otters have the densest fur of all marine mammals? This helps them float and stay warm in cold waters. 🦦 🌊  Although otter pups can float, they rely on their mothers for about six months to a year to learn how to swim and acquire essential survival skills, such as hunting and cracking shells.   📝 Do you know more facts about otters? Share with us in the comments below! 👇   🎥: earthlyeducation (IG)",,,21,47.0,5,4,5,19.2,23.8,26,https://www.tiktok.com/@genv_eng/video/7390833637492657439?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/13/2024 03:19 PM EDT -0400,"A mother cow runs after her baby, two more victims of the forced separation that is routine on dairy farms.    How can ice cream and cheese be worth such misery?   #dairy #milk",,,16,13.7,4,0,2,10.0,12.5,20,https://www.tiktok.com/@genv_eng/video/7391202126212402462?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/15/2024 01:57 PM EDT -0400,"Dr Sharang Wartikar, Vitreo Retinal surgeon from India talks about why he turned vegan 5 years ago and the benefits he experienced since then.🌿💪   Are you ready to try vegan? Go to https://pulse.ly/4g0r4+ and sign up for one of our free vegan challenges today.⚡   #VeganForAnimals #healthydiet #Indiandiet",,,806,21.7,92,47,103,11.5,12.8,898,https://www.tiktok.com/@genv_eng/video/7391923176269188382?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/15/2024 03:15 PM EDT -0400,"After minks, foxes are the second most widely farmed species in the fur industry, with an estimated 4 million killed for their pelts each year.    Many species of fox, including the commonly known red fox, live 3-4 years naturally. On fur farms, they are kept in filthy, traumatizing conditions and killed at around 4 months old.   If you wish to see animals free from suffering, consider going vegan. It’s the single biggest thing we can do at an individual level to better the lives of animals. And, of course, never buy fur.   #FurIsDead #FauxFur #vegan #VeganForTheAnimals #fox",,,49,40.0,14,7,5,7.9,10.2,63,https://www.tiktok.com/@genv_eng/video/7391943379556273439?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/16/2024 02:13 PM EDT -0400,Dolphins enchant with their grace and beauty. 🐬💙   🎥: Evan Fawell,,,22,92.2,4,6,3,11.5,13.6,26,https://www.tiktok.com/@genv_eng/video/7392298353796664607?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/16/2024 03:48 PM EDT -0400,"Around 55% of the shrimps sold for food come from cruel farms where millions of them are confined and forced to live in squalid conditions. Not only that, these shrimp farms are destroying precious mangroves, polluting our land and water bodies. Help break the cycle of cruelty! 🚫 Choose compassion over exploitation. 🌱. #ChooseVegan #SaveOurShrimp #CrueltyFreeLiving",Simon Plazolles-Hayes,,985,94.2,153,299,99,8.7,10.1,1138,https://www.tiktok.com/@genv_eng/video/7392322936570531115?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/17/2024 04:57 PM EDT -0400,"Meat and dairy are associated with increased risks of type 2 diabetes, heart disease, strokes, and some kinds of cancer.  No wonder vegans need fewer medications!",,,604,33.1,87,33,45,6.5,7.5,691,https://www.tiktok.com/@genv_eng/video/7392711734202486047?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/18/2024 03:11 PM EDT -0400,"A new report exposes 22 of the largest meat and dairy companies across four continents, alongside their powerful trade groups.   Reminiscent of the tobacco and fossil fuel industries, the report reveals how Big Meat and Dairy convinces policymakers of agricultural exceptionalism and downplays its climate impact through misleading science on methane emissions and promoting their preferred solutions, such as voluntary techno-fixes.",,,645,11.9,61,9,86,12.2,13.3,706,https://www.tiktok.com/@genv_eng/video/7393055558808505631?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/19/2024 10:25 AM EDT -0400,"🦁 Myth: Lions eat meat, so humans should too, right? 🍖🤔 Wrong! Just because lions have a carnivorous diet doesn't mean it's the ideal model for humans.    Our bodies are designed to thrive on a plant-based diet, rich in nutrients, fiber, and compassion. Let's break free from such outdated myths and embrace a diet that aligns with our health, the planet, and the welfare of all living beings. 🌱💪",,,48,44.4,5,8,5,9.4,10.4,53,https://www.tiktok.com/@genv_eng/video/7393352981304904990?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/19/2024 01:22 PM EDT -0400,"🌱✨ A Southern Girl Gone Vegan! 🐾💚   Growing up in the South, Kathy Freston was surrounded by traditional comfort foods and BBQs. But one day, she had a profound realization – she loved animals too much to eat them. 🐄🐖🐓   Listen as Kathy shares how she embraced a vegan lifestyle, uniting compassion and tradition. Her story is a powerful reminder to align our choices with our values. 🌿❤️ ❤️@Kathy Freston  ⚡️@Mercy For Animals ",,,711,6.2,63,6,135,17.4,19.0,774,https://www.tiktok.com/@genv_eng/video/7393398551180627230?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/21/2024 05:51 PM EDT -0400,"Chickens aren't just clucking around all day – they're highly intelligent birds with vibrant personalities. From their remarkable memory and math skills to their diverse vocalizations, chickens empathize with others in their brood and protect each other@.   Shot at @ahimsa_farm_animal_sanctuary   #hen #chicken #AnimalSanctuary",,,574,25.9,64,38,43,6.7,7.5,638,https://www.tiktok.com/@genv_eng/video/7394210104448388382?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/22/2024 11:58 AM EDT -0400,"Cows produce milk because they are pregnant. When we consume dairy products like milk, cheese, ice cream, and yogurt we are taking away a mother’s milk she made for her baby.   Please consider alternatives to dairy made from cows’ milk so that families are not torn apart.   🎥 @farmtransparencyproject",,,18,18.7,5,0,2,8.7,11.1,23,https://www.tiktok.com/@genv_eng/video/7394489997363105054?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/22/2024 01:12 PM EDT -0400,"Paul, a military veteran, was an army paratrooper and a navy bomb disposal diver before an encounter with a 10-foot bullshark changed everything, including his views on conservation and the ethics of eating animals.   Join the movement towards a better planet with plant-based eating! 🌱🌍",,,586,10.7,93,7,69,10.2,11.8,679,https://www.tiktok.com/@genv_eng/video/7394509216452627758?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/22/2024 01:50 PM EDT -0400,"🎾🏀⚽️Athletes at the top of their game across all sporting disciplines are finding that a plant-based diet is not only possible but preferable, as it can aid recovery, improve performance, and give them an edge over their competitors. 👇🏽What other vegan athletes do you know? #veganism #athletes #olympics #VeganOlympics #OlympicGames #olympics2024 #PlantBased #nutrition",,,607,17.4,131,22,56,7.6,9.2,738,https://www.tiktok.com/@genv_eng/video/7394519013197434142?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/23/2024 09:14 AM EDT -0400,"Paul Watson, anti-whaling campaigner and founder of Sea Shepherd, has been arrested by Danish authorities at the behest of Japan. Paul Watson is a dedicated leader and fierce advocate for marine life. We support his right to protect whales and call for his immediate release from detention. #PaulWatson",,,10675,100.0,1535,4724,576,4.7,5.4,12210,https://www.tiktok.com/@genv_eng/video/7394818886832524575?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/23/2024 00:34 PM EDT -0400,Live exports must be banned. 🐄🚫🚢   #Cows #Farming   📹@Weanimals,,,249,22.1,36,15,80,28.1,32.1,285,https://www.tiktok.com/@genv_eng/video/7394870421855702302?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/23/2024 02:22 PM EDT -0400,"💬Check out the compelling perspectives of @RealJoeyCarbstrong, Dr. Sailesh Rao, and Dr. Chidi Ngwaba.  🌍✨  This House Would Go Vegan – let the dialogue begin!  #Oxford #Vegan #Debate",,,393,17.1,48,17,92,20.9,23.4,441,https://www.tiktok.com/@genv_eng/video/7394898363025591582?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/25/2024 10:46 AM EDT -0400,"✊🏾Today is International Day of Afro-Latin American, Afro-Caribbean, and Diaspora Women and we want to celebrate those activists from the South who advocate for animal rights.   ⚡️We unite against all forms of oppression as we believe in a system where no person or animal is exploited or abused.   👇🏽What other vegan afro-descendant women do you know? We want to meet them all!   #veganism #AfroDescendant #AfroLatin #diaspora #BlackWomen #VeganWomen",,,199,17.9,27,6,20,8.8,10.1,226,https://www.tiktok.com/@genv_eng/video/7395584939535764767?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/25/2024 05:05 PM EDT -0400,"If you’re wondering how much protein you should eat per day, or where to find it, then we have good news. A vegan diet gives you all the protein you need— just ask bodybuilder Nimai Delgado!   What are your favorite vegan protein sources? 👇   💪@NimaiDelgado 🧒🏾 @GenesisButler     #protein #VeganProtein",,,233,20.8,36,9,39,14.5,16.7,269,https://www.tiktok.com/@genv_eng/video/7395682575051771167?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/26/2024 03:02 PM EDT -0400,"Most vegans grew up eating meat, but one day realized that the meat on their plate used to be part of a living, feeling animal.   When we make that connection, we act on it because no animal should be exploited just for a meal.   What was your moment of vegan realization?   #TheSimpsons #meat #vegan #lamb #AnimalRights",,,398,26.7,65,57,40,8.6,10.1,463,https://www.tiktok.com/@genv_eng/video/7396021765220109598?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/29/2024 01:03 PM EDT -0400,"Who else yawned after watching this?  Here are a few facts about owls in case you didn’t know:   1. Owls have incredible night vision and can see in almost complete darkness. 🌙   2. Owls can hear prey hidden under snow. ❄️ Their hearing is that sharp!   3. Owls can rotate their heads up to 270 degrees without moving their bodies. Talk about flexibility! ✨   4. Some owl species can live up to 25 years in the wild! 🎉   5. Owls have three eyelids: one for blinking, one for sleeping, and one for keeping their eyes clean. 👁️   6. Not all owls hoot! Some make other unique sounds like screeches, barks, and whistles. 🔊  Video by: tammy_ascher",,,0,0.0,19,0,1,5.3,0.0,19,https://www.tiktok.com/@genv_eng/video/7397104546394148127?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/29/2024 02:52 PM EDT -0400,"If the whole world was vegan, there is no chance we would be overrun with animals! We would not be breeding animals in their billions in the first place.   👸 @The Vegan Queens  #farmanimals #vegan",,,0,0.0,3960,0,139,3.5,0.0,3960,https://www.tiktok.com/@genv_eng/video/7397132578718829854?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/29/2024 04:35 PM EDT -0400,"💚Every life deserves freedom and compassion.   These rescued farmed animals remind us of the horrors they endured and the joy of liberation. 🐷🐮🐔   🌟Let's choose kindness and give all beings the chance to live their lives free from harm.   🫶🏽Join the movement, choose veganism today!    🎥:@lancasterfarmsanctua ",,,0,0.0,304,0,51,16.8,0.0,304,https://www.tiktok.com/@genv_eng/video/7397159011751120158?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/30/2024 11:57 AM EDT -0400,💚Share this with those who make you happy and lessen your misery (if only we could share this with our companion animals…)   🎥Credit: @thedodo   #animals #friendship #friends #FriendsNotFood,,,0,100.0,0,0,0,0.0,0.0,0,https://www.tiktok.com/@genv_eng/video/7397458638463339806?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/30/2024 05:49 PM EDT -0400,🥇 Vegan victory!   Athlete Vivian Kong (@vmwkong) has won the gold medal in fencing at the Paris Olympics! 🌱   More and more high-performance athletes are proving that a 100% plant-based diet is not only conscious and compassionate but also feasible and advantageous.   💪 Share this post with anyone who still doesn’t believe that being vegan is healthy.,,,0,100.0,0,0,0,0.0,0.0,0,https://www.tiktok.com/@genv_eng/video/7397549379378269471?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/03/2024 02:30 PM EST -0500,"Exploring common ground between veganism and Islam with Altamush Saeed, a passionate social justice advocate and follower of Islam 🌱✨ Islam's teachings of compassion and kindness toward all living beings resonate with the vegan philosophy of advocating compassion by avoiding the use of animals for food, clothing, or any other purpose.  Now is the ideal moment to embrace a vegan lifestyle! 🌿  #VeganIslam #CompassionInAction #Islam #Quran #Religion #Faith",,,277,12.0,26,8,28,9.2,10.1,303,https://www.tiktok.com/@genv_eng/video/7319956732615085358?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/04/2024 07:24 PM EST -0500,"Growing little hearts with compassion and nourishing minds with kindness. 🌱✨ Planting the seeds of a plant-based lifestyle in the next generation for a healthier, more sustainable future.  📹  naomialiciahallum (IG) #PlantPoweredKids #RaisingCompassionateEaters ",,,423,17.4,85,15,38,7.5,9.0,508,https://www.tiktok.com/@genv_eng/video/7320403473617390891?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/05/2024 04:01 PM EST -0500,"Meet Deeko. 🐣 As a male chick in the egg industry, Deeko faced a tragic fate. Thankfully he was rescued and just look how much his life means to him.🩷💚 🐥💔 Henry Spira once questioned why we cuddle some animals and put a fork in others. One look at Deeko, and we know there is no reason to deny any animal compassion. Video by: fawziajaffan (IG) Edit by @itsfarahamber #ChooseCompassion #VeganLife #AnimalRights ",,,2790,34.9,336,371,413,13.2,14.8,3126,https://www.tiktok.com/@genv_eng/video/7320722124539186478?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/07/2024 04:36 PM EST -0500,"As we get older our eating patterns and behaviors are likely to change. While we can get all the nutrients we need on a vegan diet, there are things to be aware of as we age. One common change as we get older among all diets is that we tend to eat less, which can lead to insufficient intakes of calcium, iron, zinc, B vitamins, and vitamin E. Even getting sufficient calories can be an issue. But none of this has to be a problem. Learn more about veganism in older age on our website: genv.org/veganism-for-all/veganism-in-older-age/ #age #ageisjustanumber #agepositive #ageless #aged #agegracefully #prime #elder #elderly #vegan #veganism #govegan",,,363,18.5,35,18,22,5.5,6.1,398,https://www.tiktok.com/@genv_eng/video/7321473438680452395?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/08/2024 02:45 PM EST -0500,"Farmed animals embody qualities of love, kindness, and forgiveness, even in the face of adversity, which is nothing short of inspiring. They teach us valuable lessons about empathy, compassion, and the power of second chances. We can honor them by raising our voices in support of their rights. They deserve nothing less. Video by: @menkay.ig (IG) #CherishAndProtect #FarmAnimalRights #CompassionateChoices",,,13741,31.7,1323,1054,1705,11.3,12.4,15064,https://www.tiktok.com/@genv_eng/video/7321815994534661422?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/09/2024 04:48 PM EST -0500,@Ahmed Bharoocha says we’ve taken it too far with cows.  What do you think? #cows #standup,,,2659,31.3,303,385,357,12.1,13.4,2962,https://www.tiktok.com/@genv_eng/video/7322218638415613215?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/11/2024 05:16 PM EST -0500,"🍼💔 Separated from their mothers shortly after birth and isolated in crates, these young calves desperately seek comfort from one another. This is the real cost of dairy. #Dairy #DairyIsScary #Milk ",,,1600,50.3,208,289,265,14.7,16.6,1808,https://www.tiktok.com/@genv_eng/video/7322968150042070315?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/12/2024 09:44 AM EST -0500,"Cows and cats both have inherent rights, yet one is celebrated, and the other is farmed and killed. In the ways that matter, these animals are no different. 🐮😸   We must change our perception of animals and see them all as worthy of protection.   #CuteAnimals #cows #cats",,,270,42.5,30,33,57,19.0,21.1,300,https://www.tiktok.com/@genv_eng/video/7323222687206165791?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/12/2024 01:51 PM EST -0500,"🦜✨ A gentle reminder from a feathered friend about the life behind what's on our plates. 🍽️💔  @Alene Anello describes how her pet bird Conrad reconnected her to the individuals she was eating. 🌱  If we listened to the animals we know, would we be willing to change, too? 🐖 🐄 🐏 Watch the full interview at the link in our bio!   #FoodForThought #MindfulEating #FeatheredPerspective #Pets #Birds #SunConure #Cockatoos",,,457,33.7,45,86,42,8.4,9.2,502,https://www.tiktok.com/@genv_eng/video/7323286380459609390?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/13/2024 00:09 PM EST -0500,"🐦✨ One bird, one life-changing story.  Meet Conrad, the feathery friend who transformed Alene Anello's world. From that moment, ‘chicken’ took on a whole new meaning. 🌱 His influence sparked  Legal Impact for Chickens, Alene's mission to hold companies accountable for animal welfare.   Let's be the voice they need, enforcing the laws and standing against abuse. 💪🐔  #LegalImpactForChickens #AnimalRights #ConradsLegacy #AnimalRescue #Truth ",,,280,6.7,25,2,42,13.8,15.0,305,https://www.tiktok.com/@genv_eng/video/7323631066642844974?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/15/2024 04:25 PM EST -0500,Constance Li weighs the good and bad of modern ag-tech for farmed animal welfare.  AI and automation could mean improved care - or ominous new ways to exploit animals for efficiency and profits. Is big data friend or foe? 🚫🐄🤯 Watch the full interview on our YouTube.   #AIinAgriculture #EthicalTech #FoodRevolution,,,431,21.3,43,42,17,3.6,3.9,474,https://www.tiktok.com/@genv_eng/video/7324439391999364394?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/16/2024 00:28 PM EST -0500,"As you read this, millions of animals are experiencing the warmth of the sunshine for the last time as they are trucked to the slaughterhouse. They find no mercy, no help, no compassion.   You don’t have to love animals to know that killing them is wrong.   #goat #AnimalLover",,,1850,61.4,170,374,243,12.0,13.1,2020,https://www.tiktok.com/@genv_eng/video/7324749183276109086?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/16/2024 05:17 PM EST -0500,"The beginning of the year is perfect for starting a new habit. But more than becoming vegan, we want to help you to STAY vegan.  Ready to start a life of compassion? 💛⚡ Go vegan today! Try our 30-day vegan challenge here: genv.org/go-vegan #NewYear #GoVegan ",,,321,19.8,35,11,20,5.6,6.2,356,https://www.tiktok.com/@genv_eng/video/7324823755610541355?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/18/2024 01:59 PM EST -0500,"This is the reality of millions of pigs worldwide. Mothers are trapped in farrowing crates, unable even to turn around. Their babies, born into a world of filthy concrete, repeat the cycle of confinement and slaughter.  Choose vegan and help end these cruel practices. 🐷❤️   #pigs #bacon #GoVegan",,,338,57.2,36,82,53,14.2,15.7,374,https://www.tiktok.com/@genv_eng/video/7325514779525696798?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/18/2024 05:25 PM EST -0500,"The use of AI in animal agriculture could worsen the industry’s already unethical practices and its poor environmental track record, but here's the twist – we can also harness the power of AI for positive change! 🔄💡  We can use AI to increase our productivity when advocating for animals, create more transparency, and accelerate the production of plant-based proteins.  Now is the time to use technology to create a compassionate and eco-friendly future. 🌱🤖 🎥  @liconstan #TechforGood #SustainableAgriculture #AIRevolution",,,346,4.3,52,1,31,7.8,9.0,398,https://www.tiktok.com/@genv_eng/video/7325567928340942123?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/19/2024 03:55 PM EST -0500,"The dairy industry spends millions of dollars advertising their products every year. They use terms like “Organic”, “Natural” and “Grass-Fed” to trick people into thinking milk is naturally and humanely produced. One artist, Praxis put up posters and billboards across the United States to reveal the truth behind the advertising facade. Suddenly oatmilk doesn’t sound so bad, eh? #Dairy #DairyIsScary #TheTruthAboutDairy @",,,115,23.3,9,9,16,12.9,13.9,124,https://www.tiktok.com/@genv_eng/video/7325915831358098734?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/20/2024 02:27 PM EST -0500,"Vegans are not perfect, nor do we claim to be. But in a world of cruelty — both industrialized and normalized — vegans make an effort not to contribute to animal suffering. Will you choose not to harm animals today? #Vegan #Perfect #AnimalRights #Meat ",,,325,19.5,0,19,26,8.6,8.0,301,https://www.tiktok.com/@genv_eng/video/7326264288270650667?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/21/2024 04:43 PM EST -0500,"Chicken Run 2 is not just a movie, but a rallying cry for animal liberation! 🐔✊ Embark on an adventure with our brave feathered friends as they break free from cages and unite for a world where every creature deserves freedom.   🐔🎬Chicken Run 2 is a call to action for compassion, equality, and the liberation of all beings. #ChickenRun2 #AnimalLiberation #BreakFreeWithUs",,,375,15.6,39,11,21,5.1,5.6,414,https://www.tiktok.com/@genv_eng/video/7326670320507686186?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/22/2024 11:15 AM EST -0500,"Row after row after row…    This is the disturbing reality of the dairy industry. Each pen contains a calf, separated from his mother at birth, and confined alone until he is slaughtered for veal at only 18 weeks old.   How can we ignore this senseless cruelty?  💔🐮   🎥 We Animals   #dairy #milk #veal",,,256,29.9,42,21,39,13.1,15.2,298,https://www.tiktok.com/@genv_eng/video/7326956805681122590?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/22/2024 01:36 PM EST -0500,"Making the vegan switch has never been smoother! 🌱✨ Restaurants are stepping up with incredible plant-based choices, and the vegan cheeses and meats are seriously leveling up in taste and affordability. 🍔💚 Plus, the growing awareness of the health benefits of a whole food plant-based diet is a game-changer. 🥗💪  Shoutout to @HappyCow for being our go-to guide in discovering awesome vegan spots worldwide. 🌍🐮  #VeganEats #PlantBasedLife #HappyCowAdventures",,,327,23.5,22,23,25,7.2,7.6,349,https://www.tiktok.com/@genv_eng/video/7326993210864110894?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/23/2024 08:37 AM EST -0500,"This man saved this fawn from drowning at the right time. We may not have the opportunity to perform a rescue, but we can help animals or harm them for every meal. 🦌    Going vegan isn’t about sacrifice; veganism is about choosing the option that doesn’t harm others. ❤   #deer #AnimalRescue",,,81,39.2,8,16,12,13.5,14.8,89,https://www.tiktok.com/@genv_eng/video/7327287217632578847?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/23/2024 03:00 PM EST -0500,Who says vegans don’t get enough protein? 🤔 What are your favorite vegan protein sources? 💪 👑 @veganqueens,Simon Plazolles-Hayes,,274,41.9,21,37,17,5.8,6.2,295,https://www.tiktok.com/@genv_eng/video/7327386042875645226?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/24/2024 06:08 PM EST -0500,"We are raised to believe that milk and other animal products are necessary for us to lead a healthy lifestyle. But just how true is this? Watch the teaser, and check out our full-length interview with Dr. Allan Kornberg on YouTube. #teaser #trailer #health #healthy #healthylifestyle #healthyfood #healthyeating #healthtips #healthyliving #healthandfitness #healthfood #healthjourney ",,,241,10.6,19,6,11,4.2,4.6,260,https://www.tiktok.com/@genv_eng/video/7327805629500951854?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/25/2024 04:57 PM EST -0500,"Choosing the vegan option not only helps animals, but it is also the single biggest way to reduce our environmental impact.  According to a study conducted by Oxford University, cutting meat and dairy products could reduce an individual’s carbon footprint from food by up to 73%. Will you try vegan for the planet?  😎 @newrootsinstitute #ClimateChange #environment #food #vegan",,,314,28.8,43,28,40,11.2,12.7,357,https://www.tiktok.com/@genv_eng/video/7328158366377905454?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/26/2024 02:35 PM EST -0500,"Type 2 diabetic Bryn Scola, a former “meat & potatoes guy,” had two heart attacks, six stents placed in his chest, and a five-way bypass operation before making the decision to go plant-based. Today, he is heart-healthy and diabetes-free. A plant-based vegan diet is proven to reduce the risks of certain diseases like heart disease, strokes, type 2 diabetes, and certain types of cancer. 🌱 Take action for your health today, by trying a plant-based vegan challenge this New Year. Sign up and watch the full film at genv.org/why-vegan/for-your-health/. #health #diabetes #heartdisease #healthyrecipes #healthyeating #healthtips #healthjourney #healthandfitness #healthbenefits #healthgoals ",,,747,13.4,118,22,120,13.9,16.1,865,https://www.tiktok.com/@genv_eng/video/7328492706190118187?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/29/2024 05:37 PM EST -0500,"Plant-based foods are a great source of healthy protein, which is critical for building muscle mass, and are effective at reducing inflammation and speeding up recovery time.    It is no wonder that so many people are turning to a vegan diet to find their competitive edge!💪   #vegan #protein",,,313,28.8,52,27,47,12.9,15.0,365,https://www.tiktok.com/@genv_eng/video/7329652822646033694?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/30/2024 03:53 PM EST -0500,A quick recipe to show you how you can make your own yogurt at home. Setting it in an earthen pot gives this yogurt a delicious depth of flavor.💗   Have you tried making yogurt at home with plant-based milks?🌱   #dairyfree #soyyogurt,,,236,19.6,26,21,9,3.4,3.8,262,https://www.tiktok.com/@genv_eng/video/7329997345188285742?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/30/2024 05:30 PM EST -0500,Championing the majestic ocean dwellers while turning a blind eye to the plight of other animals illustrates our moral inconsistencies as a society.  It’s time to align our actions with our values. 💚🌱 📹 Menkay  #AnimalRights #vegan #logic,,,350,36.8,62,43,93,22.6,26.6,412,https://www.tiktok.com/@genv_eng/video/7330022388358368558?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
01/31/2024 02:31 PM EST -0500,"Who wouldn't want to cool off in this scorching heat, right? ☀️💦🐷   The little pigs from The Farm Sanctuary love playing in the water on hot days. 🐷🛁   🎥: @Farm Sanctuary    #pigs #CuteAnimals",,,290,40.5,38,30,34,10.4,11.7,328,https://www.tiktok.com/@genv_eng/video/7330347238960418091?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/01/2024 03:30 PM EST -0500,"When we look at the reality of what animals endure to become meat, we have a clear choice. We can ignore their screams and pretend that their lives do not matter, or we can decide not to contribute to their suffering and choose vegan.   What will you choose?     👑 @BILLIE EILISH  🎥 @Vegan Women Summit      #vegan #BillieEilish",,,418,37.0,61,91,86,18.0,20.6,479,https://www.tiktok.com/@genv_eng/video/7330733623445966123?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/02/2024 09:07 AM EST -0500,"Being kind to the other beings we share our planet with is not extreme!   Wise words, Clif Grant   📷 @thatVocalVegan    #AnimalRights",,,2969,35.1,233,353,417,13.0,14.0,3202,https://www.tiktok.com/@genv_eng/video/7331006001027583274?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/03/2024 10:04 AM EST -0500,"Jon Stewart discovering nutritional yeast or “nooch” is just what we need in our lives. Nutritional yeast gives food an umami, cheesy flavor—and is packed with protein, vitamin B12, and niacin. 💪   What is your favorite food to add nooch to?  @The Daily Show  #nooch #TheDailyShow",,,419,24.5,52,18,52,11.0,12.4,471,https://www.tiktok.com/@genv_eng/video/7331391504025439530?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/05/2024 00:06 PM EST -0500,"These baby cows were separated from their mothers at birth, placed in these huts, and - if they don’t drown first - will have their lives taken from them by the veal industry.   Is this how we should treat the world’s most vulnerable?   🎥 @Rob Banks    #milk #cheese #cow",,,376,100.0,55,254,33,7.7,8.8,431,https://www.tiktok.com/@genv_eng/video/7332165233487695146?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/05/2024 05:45 PM EST -0500,How can we call ourselves animal lovers when this is the standard for baby animals? 🐷😔   #piglets,,,1747,39.9,163,242,112,5.9,6.4,1910,https://www.tiktok.com/@genv_eng/video/7332252601792122154?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/06/2024 02:45 PM EST -0500,"Meet Pippa, the speedy lamb 💚   When we choose not to eat meat, it's animals like Pippa who we are saving 🌱 Thanks @farmsanctuary for giving her a second chance and the best life!   🎥: @Farm Sanctuary    #CuteAnimals #lamb",,,165,40.5,14,15,25,14.0,15.2,179,https://www.tiktok.com/@genv_eng/video/7332577412334570794?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/06/2024 05:27 PM EST -0500,Eggs come from abused hens in factory farms but luckily these poor babies were SAVED and are now living their best lives. 🧡  Let’s create a world where ALL hens get a happy ending in life. 🥹 @John Oberg  #eggs #GoVegan,,,381,19.4,63,16,68,15.3,17.8,444,https://www.tiktok.com/@genv_eng/video/7332619117800820011?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/09/2024 03:53 PM EST -0500,"This giant manta ray, an endangered marvel, is just one more victim of the cruel fishing industry.    How many animals must suffer like this before we recognize the impacts of our food choices? 🎣💔 #fishing #manta ",,,320,81.7,25,133,19,5.5,5.9,345,https://www.tiktok.com/@genv_eng/video/7333708125972761898?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
