Entity,Code,Year,"Meat, turkey | 00001080 || Producing or slaughtered animals | 005321 || animals"
Africa (FAO),,1999,9117000
Africa (FAO),,2000,10980000
Africa (FAO),,2001,11466000
Africa (FAO),,2002,12290000
Africa (FAO),,2003,12712000
Africa (FAO),,2004,13945000
Africa (FAO),,2005,18200000
Africa (FAO),,2006,15825000
Africa (FAO),,2007,19240000
Africa (FAO),,2008,21474000
Africa (FAO),,2009,22760000
Africa (FAO),,2010,25480000
Africa (FAO),,2011,26501000
Africa (FAO),,2012,29994000
Africa (FAO),,2013,31189000
Africa (FAO),,2014,32927000
Africa (FAO),,2015,33946000
Africa (FAO),,2016,37227000
Africa (FAO),,2017,39600000
Africa (FAO),,2018,41031000
Africa (FAO),,2019,40438000
Africa (FAO),,2020,42415000
Africa (FAO),,2021,43944000
Albania,ALB,2014,0
Albania,ALB,2015,157000
Albania,ALB,2016,211000
Albania,ALB,2017,205000
Albania,ALB,2018,202000
Albania,ALB,2019,203000
Albania,ALB,2020,211000
Albania,ALB,2021,206000
Algeria,DZA,1961,30000
Algeria,DZA,1962,30000
Algeria,DZA,1963,30000
Algeria,DZA,1964,30000
Algeria,DZA,1965,30000
Algeria,DZA,1966,30000
Algeria,DZA,1967,30000
Algeria,DZA,1968,30000
Algeria,DZA,1969,30000
Algeria,DZA,1970,30000
Algeria,DZA,1971,30000
Algeria,DZA,1972,30000
Algeria,DZA,1973,30000
Algeria,DZA,1974,30000
Algeria,DZA,1975,30000
Algeria,DZA,1976,30000
Algeria,DZA,1977,30000
Algeria,DZA,1978,30000
Algeria,DZA,1979,30000
Algeria,DZA,1980,30000
Algeria,DZA,1981,30000
Algeria,DZA,1982,30000
Algeria,DZA,1983,33000
Algeria,DZA,1984,44000
Algeria,DZA,1985,44000
Algeria,DZA,1986,46000
Algeria,DZA,1987,46000
Algeria,DZA,1988,48000
Algeria,DZA,1989,50000
Algeria,DZA,1990,52000
Algeria,DZA,1991,55000
Algeria,DZA,1992,57000
Algeria,DZA,1993,57000
Algeria,DZA,1994,71000
Algeria,DZA,1995,73000
Algeria,DZA,1996,65000
Algeria,DZA,1997,66000
Algeria,DZA,1998,69000
Algeria,DZA,1999,71000
Algeria,DZA,2000,73000
Algeria,DZA,2001,76000
Algeria,DZA,2002,78000
Algeria,DZA,2003,78000
Algeria,DZA,2004,78000
Algeria,DZA,2005,78000
Algeria,DZA,2006,75000
Algeria,DZA,2007,78000
Algeria,DZA,2008,78000
Algeria,DZA,2009,78000
Algeria,DZA,2010,89000
Algeria,DZA,2011,94000
Algeria,DZA,2012,96000
Algeria,DZA,2013,100000
Algeria,DZA,2014,100000
Algeria,DZA,2015,100000
Algeria,DZA,2016,100000
Algeria,DZA,2017,100000
Algeria,DZA,2018,100000
Algeria,DZA,2019,100000
Algeria,DZA,2020,104000
Algeria,DZA,2021,104000
Americas (FAO),,1961,112247000
Americas (FAO),,1962,99041000
Americas (FAO),,1963,102435000
Americas (FAO),,1964,109210000
Americas (FAO),,1965,117141000
Americas (FAO),,1966,129404000
Americas (FAO),,1967,139117000
Americas (FAO),,1968,121368000
Americas (FAO),,1969,120022000
Americas (FAO),,1970,132226000
Americas (FAO),,1971,139151000
Americas (FAO),,1972,148480000
Americas (FAO),,1973,152610000
Americas (FAO),,1974,160255000
Americas (FAO),,1975,149283000
Americas (FAO),,1976,165003000
Americas (FAO),,1977,158657000
Americas (FAO),,1978,161926000
Americas (FAO),,1979,179425000
Americas (FAO),,1980,193985000
Americas (FAO),,1981,201844000
Americas (FAO),,1982,197934000
Americas (FAO),,1983,204185000
Americas (FAO),,1984,205547000
Americas (FAO),,1985,218444000
Americas (FAO),,1986,239267000
Americas (FAO),,1987,275269000
Americas (FAO),,1988,281079000
Americas (FAO),,1989,295233000
Americas (FAO),,1990,316879000
Americas (FAO),,1991,318887000
Americas (FAO),,1992,323541000
Americas (FAO),,1993,318359000
Americas (FAO),,1994,323013000
Americas (FAO),,1995,328983000
Americas (FAO),,1996,343225000
Americas (FAO),,1997,342114000
Americas (FAO),,1998,324638000
Americas (FAO),,1999,318592000
Americas (FAO),,2000,328172000
Americas (FAO),,2001,334281000
Americas (FAO),,2002,338028000
Americas (FAO),,2003,338067000
Americas (FAO),,2004,327939000
Americas (FAO),,2005,331762000
Americas (FAO),,2006,341355000
Americas (FAO),,2007,369918000
Americas (FAO),,2008,388973000
Americas (FAO),,2009,361195000
Americas (FAO),,2010,359845000
Americas (FAO),,2011,365496000
Americas (FAO),,2012,371996000
Americas (FAO),,2013,362842000
Americas (FAO),,2014,353649000
Americas (FAO),,2015,349318000
Americas (FAO),,2016,364983000
Americas (FAO),,2017,361265000
Americas (FAO),,2018,355529000
Americas (FAO),,2019,347342000
Americas (FAO),,2020,341474000
Americas (FAO),,2021,336376000
Argentina,ARG,1961,560000
Argentina,ARG,1962,600000
Argentina,ARG,1963,656000
Argentina,ARG,1964,696000
Argentina,ARG,1965,736000
Argentina,ARG,1966,1275000
Argentina,ARG,1967,770000
Argentina,ARG,1968,900000
Argentina,ARG,1969,900000
Argentina,ARG,1970,950000
Argentina,ARG,1971,1100000
Argentina,ARG,1972,1200000
Argentina,ARG,1973,1300000
Argentina,ARG,1974,1500000
Argentina,ARG,1975,1400000
Argentina,ARG,1976,1200000
Argentina,ARG,1977,1100000
Argentina,ARG,1978,1200000
Argentina,ARG,1979,1380000
Argentina,ARG,1980,2500000
Argentina,ARG,1981,3900000
Argentina,ARG,1982,4600000
Argentina,ARG,1983,5600000
Argentina,ARG,1984,6500000
Argentina,ARG,1985,7100000
Argentina,ARG,1986,7800000
Argentina,ARG,1987,8580000
Argentina,ARG,1988,7700000
Argentina,ARG,1989,7400000
Argentina,ARG,1990,8240000
Argentina,ARG,1991,6063000
Argentina,ARG,1992,8159000
Argentina,ARG,1993,8200000
Argentina,ARG,1994,7500000
Argentina,ARG,1995,7000000
Argentina,ARG,1996,6500000
Argentina,ARG,1997,6500000
Argentina,ARG,1998,6500000
Argentina,ARG,1999,6800000
Argentina,ARG,2000,6800000
Argentina,ARG,2001,6800000
Argentina,ARG,2002,6850000
Argentina,ARG,2003,6900000
Argentina,ARG,2004,6900000
Argentina,ARG,2005,6900000
Argentina,ARG,2006,6900000
Argentina,ARG,2007,7000000
Argentina,ARG,2008,7000000
Argentina,ARG,2009,7000000
Argentina,ARG,2010,7000000
Argentina,ARG,2011,7000000
Argentina,ARG,2012,7073000
Argentina,ARG,2013,7230000
Argentina,ARG,2014,7228000
Argentina,ARG,2015,6918000
Argentina,ARG,2016,7043000
Argentina,ARG,2017,6807000
Argentina,ARG,2018,6843000
Argentina,ARG,2019,6867000
Argentina,ARG,2020,6857000
Argentina,ARG,2021,6847000
Asia,,1961,4422000
Asia,,1962,4779000
Asia,,1963,4978000
Asia,,1964,5033000
Asia,,1965,5278000
Asia,,1966,5697000
Asia,,1967,6004000
Asia,,1968,6537000
Asia,,1969,7021000
Asia,,1970,8175000
Asia,,1971,9488000
Asia,,1972,11397000
Asia,,1973,12089000
Asia,,1974,13802000
Asia,,1975,15960000
Asia,,1976,16711000
Asia,,1977,18915000
Asia,,1978,18994000
Asia,,1979,18491000
Asia,,1980,18711000
Asia,,1981,19631000
Asia,,1982,19693000
Asia,,1983,22739000
Asia,,1984,20552000
Asia,,1985,19222000
Asia,,1986,20563000
Asia,,1987,23204000
Asia,,1988,14958000
Asia,,1989,15238000
Asia,,1990,16010000
Asia,,1991,17284000
Asia,,1992,18982000
Asia,,1993,21811000
Asia,,1994,23415000
Asia,,1995,23642000
Asia,,1996,17002000
Asia,,1997,17206000
Asia,,1998,16974000
Asia,,1999,17868000
Asia,,2000,26548000
Asia,,2001,24177000
Asia,,2002,24732000
Asia,,2003,24075000
Asia,,2004,25175000
Asia,,2005,24858000
Asia,,2006,21211000
Asia,,2007,22491000
Asia,,2008,21352000
Asia,,2009,19779000
Asia,,2010,20158000
Asia,,2011,20572000
Asia,,2012,21584000
Asia,,2013,20092000
Asia,,2014,21766000
Asia,,2015,23410000
Asia,,2016,21193000
Asia,,2017,21762000
Asia,,2018,22874000
Asia,,2019,28290000
Asia,,2020,24581000
Asia,,2021,24865000
Asia (FAO),,1961,4522000
Asia (FAO),,1962,4884000
Asia (FAO),,1963,5088000
Asia (FAO),,1964,5133000
Asia (FAO),,1965,5328000
Asia (FAO),,1966,5747000
Asia (FAO),,1967,6054000
Asia (FAO),,1968,6592000
Asia (FAO),,1969,7075000
Asia (FAO),,1970,8229000
Asia (FAO),,1971,9541000
Asia (FAO),,1972,11449000
Asia (FAO),,1973,12104000
Asia (FAO),,1974,13815000
Asia (FAO),,1975,15975000
Asia (FAO),,1976,16733000
Asia (FAO),,1977,18965000
Asia (FAO),,1978,19034000
Asia (FAO),,1979,18531000
Asia (FAO),,1980,18751000
Asia (FAO),,1981,19681000
Asia (FAO),,1982,19738000
Asia (FAO),,1983,22830000
Asia (FAO),,1984,20625000
Asia (FAO),,1985,19270000
Asia (FAO),,1986,20648000
Asia (FAO),,1987,23302000
Asia (FAO),,1988,15067000
Asia (FAO),,1989,15346000
Asia (FAO),,1990,16131000
Asia (FAO),,1991,17434000
Asia (FAO),,1992,19268000
Asia (FAO),,1993,21970000
Asia (FAO),,1994,23575000
Asia (FAO),,1995,23882000
Asia (FAO),,1996,17170000
Asia (FAO),,1997,17374000
Asia (FAO),,1998,17201000
Asia (FAO),,1999,18060000
Asia (FAO),,2000,26757000
Asia (FAO),,2001,24394000
Asia (FAO),,2002,24949000
Asia (FAO),,2003,24255000
Asia (FAO),,2004,25285000
Asia (FAO),,2005,24938000
Asia (FAO),,2006,21272000
Asia (FAO),,2007,22539000
Asia (FAO),,2008,21396000
Asia (FAO),,2009,19829000
Asia (FAO),,2010,20195000
Asia (FAO),,2011,20601000
Asia (FAO),,2012,21608000
Asia (FAO),,2013,20116000
Asia (FAO),,2014,21791000
Asia (FAO),,2015,23437000
Asia (FAO),,2016,21216000
Asia (FAO),,2017,21791000
Asia (FAO),,2018,22899000
Asia (FAO),,2019,28322000
Asia (FAO),,2020,24603000
Asia (FAO),,2021,24889000
Australia,AUS,1961,426000
Australia,AUS,1962,435000
Australia,AUS,1963,444000
Australia,AUS,1964,452000
Australia,AUS,1965,462000
Australia,AUS,1966,580000
Australia,AUS,1967,694000
Australia,AUS,1968,660000
Australia,AUS,1969,916000
Australia,AUS,1970,1332000
Australia,AUS,1971,1440000
Australia,AUS,1972,1353000
Australia,AUS,1973,2134000
Australia,AUS,1974,2216000
Australia,AUS,1975,1891000
Australia,AUS,1976,1418000
Australia,AUS,1977,1600000
Australia,AUS,1978,1850000
Australia,AUS,1979,2000000
Australia,AUS,1980,2974000
Australia,AUS,1981,2250000
Australia,AUS,1982,2007000
Australia,AUS,1983,2000000
Australia,AUS,1984,2240000
Australia,AUS,1985,2928000
Australia,AUS,1986,2600000
Australia,AUS,1987,4944000
Australia,AUS,1988,5600000
Australia,AUS,1989,5930000
Australia,AUS,1990,6580000
Australia,AUS,1991,6800000
Australia,AUS,1992,6800000
Australia,AUS,1993,5200000
Australia,AUS,1994,4200000
Australia,AUS,1995,5000000
Australia,AUS,1996,6100000
Australia,AUS,1997,6100000
Australia,AUS,1998,6700000
Australia,AUS,1999,7000000
Australia,AUS,2000,7200000
Australia,AUS,2001,3800000
Australia,AUS,2002,3100000
Australia,AUS,2003,4100000
Australia,AUS,2004,3600000
Australia,AUS,2005,3300000
Australia,AUS,2006,6200000
Australia,AUS,2007,10400000
Australia,AUS,2008,6700000
Australia,AUS,2009,6350000
Australia,AUS,2010,6300000
Australia,AUS,2011,6200000
Australia,AUS,2012,6430000
Australia,AUS,2013,6335000
Australia,AUS,2014,6333000
Australia,AUS,2015,6325000
Australia,AUS,2016,6310000
Australia,AUS,2017,6320000
Australia,AUS,2018,6275000
Australia,AUS,2019,5752000
Australia,AUS,2020,5654000
Australia,AUS,2021,5645000
Austria,AUT,1961,30000
Austria,AUT,1962,31000
Austria,AUT,1963,31000
Austria,AUT,1964,31000
Austria,AUT,1965,20000
Austria,AUT,1966,24000
Austria,AUT,1967,33000
Austria,AUT,1968,80000
Austria,AUT,1969,60000
Austria,AUT,1970,64000
Austria,AUT,1971,69000
Austria,AUT,1972,147000
Austria,AUT,1973,126000
Austria,AUT,1974,129000
Austria,AUT,1975,134000
Austria,AUT,1976,215000
Austria,AUT,1977,274000
Austria,AUT,1978,346000
Austria,AUT,1979,417000
Austria,AUT,1980,294000
Austria,AUT,1981,352000
Austria,AUT,1982,388000
Austria,AUT,1983,456000
Austria,AUT,1984,771000
Austria,AUT,1985,754000
Austria,AUT,1986,751000
Austria,AUT,1987,886000
Austria,AUT,1988,996000
Austria,AUT,1989,1106000
Austria,AUT,1990,1446000
Austria,AUT,1991,1907000
Austria,AUT,1992,2138000
Austria,AUT,1993,2239000
Austria,AUT,1994,2087000
Austria,AUT,1995,1807000
Austria,AUT,1996,1614000
Austria,AUT,1997,1668000
Austria,AUT,1998,1577000
Austria,AUT,1999,1774000
Austria,AUT,2000,2208000
Austria,AUT,2001,2312000
Austria,AUT,2002,2251000
Austria,AUT,2003,2273000
Austria,AUT,2004,2871000
Austria,AUT,2005,2772000
Austria,AUT,2006,2744000
Austria,AUT,2007,2608000
Austria,AUT,2008,2561000
Austria,AUT,2009,2276000
Austria,AUT,2010,2423000
Austria,AUT,2011,2404000
Austria,AUT,2012,2292000
Austria,AUT,2013,1958000
Austria,AUT,2014,2003000
Austria,AUT,2015,1968000
Austria,AUT,2016,1900000
Austria,AUT,2017,1610000
Austria,AUT,2018,1280000
Austria,AUT,2019,1390000
Barbados,BRB,1991,0
Barbados,BRB,1992,0
Barbados,BRB,1993,0
Barbados,BRB,1994,0
Barbados,BRB,1995,0
Barbados,BRB,1996,0
Barbados,BRB,1997,50000
Barbados,BRB,1998,90000
Barbados,BRB,1999,32000
Barbados,BRB,2000,115000
Barbados,BRB,2001,45000
Barbados,BRB,2002,105000
Barbados,BRB,2003,85000
Barbados,BRB,2004,67000
Barbados,BRB,2005,110000
Barbados,BRB,2006,85000
Barbados,BRB,2007,85000
Barbados,BRB,2008,74000
Barbados,BRB,2009,67000
Barbados,BRB,2010,85000
Barbados,BRB,2011,73000
Barbados,BRB,2012,54000
Barbados,BRB,2013,29000
Barbados,BRB,2014,20000
Barbados,BRB,2015,40000
Barbados,BRB,2016,30000
Barbados,BRB,2017,39000
Barbados,BRB,2018,39000
Barbados,BRB,2019,31000
Barbados,BRB,2020,31000
Barbados,BRB,2021,37000
Belgium,BEL,2000,723000
Belgium,BEL,2001,737000
Belgium,BEL,2002,788000
Belgium,BEL,2003,689000
Belgium,BEL,2004,539000
Belgium,BEL,2005,405000
Belgium,BEL,2006,477000
Belgium,BEL,2007,628000
Belgium,BEL,2008,815000
Belgium,BEL,2009,915000
Belgium,BEL,2010,848000
Belgium,BEL,2011,880000
Belgium,BEL,2012,862000
Belgium,BEL,2013,880000
Belgium,BEL,2014,836000
Belgium,BEL,2015,804000
Belgium,BEL,2016,778000
Belgium,BEL,2017,775000
Belgium,BEL,2018,766000
Belgium,BEL,2019,728000
Belgium-Luxembourg (FAO),,1961,350000
Belgium-Luxembourg (FAO),,1962,349000
Belgium-Luxembourg (FAO),,1963,318000
Belgium-Luxembourg (FAO),,1964,347000
Belgium-Luxembourg (FAO),,1965,337000
Belgium-Luxembourg (FAO),,1966,369000
Belgium-Luxembourg (FAO),,1967,682000
Belgium-Luxembourg (FAO),,1968,1021000
Belgium-Luxembourg (FAO),,1969,1422000
Belgium-Luxembourg (FAO),,1970,1678000
Belgium-Luxembourg (FAO),,1971,1751000
Belgium-Luxembourg (FAO),,1972,1693000
Belgium-Luxembourg (FAO),,1973,2100000
Belgium-Luxembourg (FAO),,1974,2380000
Belgium-Luxembourg (FAO),,1975,2456000
Belgium-Luxembourg (FAO),,1976,2146000
Belgium-Luxembourg (FAO),,1977,2256000
Belgium-Luxembourg (FAO),,1978,2015000
Belgium-Luxembourg (FAO),,1979,2263000
Belgium-Luxembourg (FAO),,1980,2346000
Belgium-Luxembourg (FAO),,1981,1949000
Belgium-Luxembourg (FAO),,1982,2214000
Belgium-Luxembourg (FAO),,1983,2400000
Belgium-Luxembourg (FAO),,1984,2480000
Belgium-Luxembourg (FAO),,1985,2420000
Belgium-Luxembourg (FAO),,1986,2380000
Belgium-Luxembourg (FAO),,1987,2208000
Belgium-Luxembourg (FAO),,1988,1639000
Belgium-Luxembourg (FAO),,1989,1501000
Belgium-Luxembourg (FAO),,1990,1509000
Belgium-Luxembourg (FAO),,1991,1522000
Belgium-Luxembourg (FAO),,1992,1660000
Belgium-Luxembourg (FAO),,1993,1685000
Belgium-Luxembourg (FAO),,1994,1340000
Belgium-Luxembourg (FAO),,1995,1735000
Belgium-Luxembourg (FAO),,1996,2125000
Belgium-Luxembourg (FAO),,1997,987000
Belgium-Luxembourg (FAO),,1998,1385000
Belgium-Luxembourg (FAO),,1999,1770000
Belize,BLZ,1961,8000
Belize,BLZ,1962,8000
Belize,BLZ,1963,8000
Belize,BLZ,1964,9000
Belize,BLZ,1965,10000
Belize,BLZ,1966,10000
Belize,BLZ,1967,10000
Belize,BLZ,1968,10000
Belize,BLZ,1969,10000
Belize,BLZ,1970,10000
Belize,BLZ,1971,11000
Belize,BLZ,1972,11000
Belize,BLZ,1973,11000
Belize,BLZ,1974,11000
Belize,BLZ,1975,11000
Belize,BLZ,1976,12000
Belize,BLZ,1977,12000
Belize,BLZ,1978,12000
Belize,BLZ,1979,12000
Belize,BLZ,1980,13000
Belize,BLZ,1981,13000
Belize,BLZ,1982,13000
Belize,BLZ,1983,13000
Belize,BLZ,1984,13000
Belize,BLZ,1985,13000
Belize,BLZ,1986,13000
Belize,BLZ,1987,13000
Belize,BLZ,1988,13000
Belize,BLZ,1989,13000
Belize,BLZ,1990,13000
Belize,BLZ,1991,13000
Belize,BLZ,1992,21000
Belize,BLZ,1993,11000
Belize,BLZ,1994,22000
Belize,BLZ,1995,13000
Belize,BLZ,1996,16000
Belize,BLZ,1997,13000
Belize,BLZ,1998,15000
Belize,BLZ,1999,21000
Belize,BLZ,2000,20000
Belize,BLZ,2001,28000
Belize,BLZ,2002,32000
Belize,BLZ,2003,27000
Belize,BLZ,2004,25000
Belize,BLZ,2005,23000
Belize,BLZ,2006,29000
Belize,BLZ,2007,24000
Belize,BLZ,2008,29000
Belize,BLZ,2009,41000
Belize,BLZ,2010,25000
Belize,BLZ,2011,24000
Belize,BLZ,2012,7000
Belize,BLZ,2013,44000
Belize,BLZ,2014,38000
Belize,BLZ,2015,10000
Belize,BLZ,2016,32000
Belize,BLZ,2017,50000
Belize,BLZ,2018,36000
Belize,BLZ,2019,45000
Belize,BLZ,2020,40000
Belize,BLZ,2021,46000
Bolivia,BOL,1961,64000
Bolivia,BOL,1962,88000
Bolivia,BOL,1963,97000
Bolivia,BOL,1964,97000
Bolivia,BOL,1965,98000
Bolivia,BOL,1966,98000
Bolivia,BOL,1967,109000
Bolivia,BOL,1968,109000
Bolivia,BOL,1969,108000
Bolivia,BOL,1970,109000
Bolivia,BOL,1971,108000
Bolivia,BOL,1972,110000
Bolivia,BOL,1973,110000
Bolivia,BOL,1974,115000
Bolivia,BOL,1975,120000
Bolivia,BOL,1976,122000
Bolivia,BOL,1977,124000
Bolivia,BOL,1978,125000
Bolivia,BOL,1979,127000
Bolivia,BOL,1980,130000
Bolivia,BOL,1981,130000
Bolivia,BOL,1982,132000
Bolivia,BOL,1983,140000
Bolivia,BOL,1984,140000
Bolivia,BOL,1985,140000
Bolivia,BOL,1986,150000
Bolivia,BOL,1987,150000
Bolivia,BOL,1988,160000
Bolivia,BOL,1989,160000
Bolivia,BOL,1990,165000
Bosnia and Herzegovina,BIH,2013,0
Bosnia and Herzegovina,BIH,2014,3000
Bosnia and Herzegovina,BIH,2015,5000
Bosnia and Herzegovina,BIH,2016,6000
Bosnia and Herzegovina,BIH,2017,7000
Bosnia and Herzegovina,BIH,2018,21000
Bosnia and Herzegovina,BIH,2019,7000
Bosnia and Herzegovina,BIH,2020,8000
Bosnia and Herzegovina,BIH,2021,21000
Brazil,BRA,1961,1000000
Brazil,BRA,1962,1100000
Brazil,BRA,1963,1200000
Brazil,BRA,1964,1300000
Brazil,BRA,1965,1400000
Brazil,BRA,1966,1500000
Brazil,BRA,1967,1500000
Brazil,BRA,1968,1600000
Brazil,BRA,1969,1700000
Brazil,BRA,1970,1700000
Brazil,BRA,1971,1900000
Brazil,BRA,1972,2100000
Brazil,BRA,1973,2300000
Brazil,BRA,1974,3000000
Brazil,BRA,1975,3200000
Brazil,BRA,1976,2400000
Brazil,BRA,1977,2700000
Brazil,BRA,1978,2800000
Brazil,BRA,1979,3455000
Brazil,BRA,1980,4337000
Brazil,BRA,1981,4392000
Brazil,BRA,1982,4629000
Brazil,BRA,1983,5191000
Brazil,BRA,1984,6898000
Brazil,BRA,1985,6342000
Brazil,BRA,1986,6722000
Brazil,BRA,1987,7982000
Brazil,BRA,1988,7753000
Brazil,BRA,1989,9153000
Brazil,BRA,1990,9337000
Brazil,BRA,1991,9598000
Brazil,BRA,1992,9872000
Brazil,BRA,1993,10517000
Brazil,BRA,1994,11332000
Brazil,BRA,1995,13381000
Brazil,BRA,1996,14905000
Brazil,BRA,1997,16400000
Brazil,BRA,1998,17200000
Brazil,BRA,1999,18200000
Brazil,BRA,2000,22100000
Brazil,BRA,2001,26600000
Brazil,BRA,2002,28200000
Brazil,BRA,2003,31250000
Brazil,BRA,2004,34300000
Brazil,BRA,2005,43000000
Brazil,BRA,2006,45300000
Brazil,BRA,2007,62000000
Brazil,BRA,2008,72650000
Brazil,BRA,2009,72800000
Brazil,BRA,2010,75800000
Brazil,BRA,2011,76400000
Brazil,BRA,2012,79700000
Brazil,BRA,2013,81250000
Brazil,BRA,2014,73450000
Brazil,BRA,2015,73416000
Brazil,BRA,2016,77679000
Brazil,BRA,2017,80317000
Brazil,BRA,2018,77895000
Brazil,BRA,2019,80222000
Brazil,BRA,2020,82873000
Brazil,BRA,2021,84990000
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,356000
Bulgaria,BGR,1992,300000
Bulgaria,BGR,1993,283000
Bulgaria,BGR,1994,315000
Bulgaria,BGR,1995,361000
Bulgaria,BGR,1996,400000
Bulgaria,BGR,1997,300000
Bulgaria,BGR,1998,450000
Bulgaria,BGR,1999,500000
Bulgaria,BGR,2000,400000
Bulgaria,BGR,2001,500000
Bulgaria,BGR,2002,600000
Bulgaria,BGR,2003,494000
Bulgaria,BGR,2004,363000
Bulgaria,BGR,2005,273000
Bulgaria,BGR,2006,302000
Bulgaria,BGR,2007,186000
Bulgaria,BGR,2008,212000
Bulgaria,BGR,2009,294000
Bulgaria,BGR,2010,170000
Bulgaria,BGR,2011,180000
Bulgaria,BGR,2012,84000
Bulgaria,BGR,2013,65000
Bulgaria,BGR,2014,48000
Bulgaria,BGR,2015,55000
Bulgaria,BGR,2016,69000
Bulgaria,BGR,2017,50000
Bulgaria,BGR,2018,70000
Burundi,BDI,1990,0
Burundi,BDI,1991,26000
Burundi,BDI,1992,24000
Burundi,BDI,1993,23000
Burundi,BDI,1994,21000
Burundi,BDI,1995,19000
Burundi,BDI,1996,19000
Burundi,BDI,1997,17000
Burundi,BDI,1998,17000
Burundi,BDI,1999,18000
Burundi,BDI,2000,8000
Burundi,BDI,2001,10000
Burundi,BDI,2002,7000
Burundi,BDI,2003,7000
Burundi,BDI,2004,0
Burundi,BDI,2005,0
Burundi,BDI,2006,0
Burundi,BDI,2007,2000
Burundi,BDI,2008,8000
Burundi,BDI,2009,3000
Burundi,BDI,2010,0
Burundi,BDI,2011,0
Burundi,BDI,2012,0
Burundi,BDI,2013,0
Burundi,BDI,2014,0
Burundi,BDI,2015,0
Burundi,BDI,2016,0
Burundi,BDI,2017,0
Burundi,BDI,2018,0
Burundi,BDI,2019,0
Burundi,BDI,2020,0
Burundi,BDI,2021,0
Canada,CAN,1961,12950000
Canada,CAN,1962,13600000
Canada,CAN,1963,13500000
Canada,CAN,1964,14700000
Canada,CAN,1965,17300000
Canada,CAN,1966,18900000
Canada,CAN,1967,17440000
Canada,CAN,1968,16258000
Canada,CAN,1969,16660000
Canada,CAN,1970,18128000
Canada,CAN,1971,18211000
Canada,CAN,1972,17463000
Canada,CAN,1973,18600000
Canada,CAN,1974,20000000
Canada,CAN,1975,15473000
Canada,CAN,1976,16630000
Canada,CAN,1977,16369000
Canada,CAN,1978,15416000
Canada,CAN,1979,17765000
Canada,CAN,1980,17362000
Canada,CAN,1981,16427000
Canada,CAN,1982,16843000
Canada,CAN,1983,16640000
Canada,CAN,1984,16265000
Canada,CAN,1985,17002000
Canada,CAN,1986,17061000
Canada,CAN,1987,18242000
Canada,CAN,1988,18660000
Canada,CAN,1989,19396000
Canada,CAN,1990,20070000
Canada,CAN,1991,19841000
Canada,CAN,1992,19863000
Canada,CAN,1993,19448000
Canada,CAN,1994,19811000
Canada,CAN,1995,21255000
