Entity,Code,Year,Geese | 00001072 || Stocks | 005112 || animals
Africa (FAO),,1978,5107000
Africa (FAO),,1979,5148000
Africa (FAO),,1980,4657000
Africa (FAO),,1981,4694000
Africa (FAO),,1982,5825000
Africa (FAO),,1983,6835000
Africa (FAO),,1984,7247000
Africa (FAO),,1985,7843000
Africa (FAO),,1986,8042000
Africa (FAO),,1987,7747000
Africa (FAO),,1988,8046000
Africa (FAO),,1989,8039000
Africa (FAO),,1990,8337000
Africa (FAO),,1991,10370000
Africa (FAO),,1992,12001000
Africa (FAO),,1993,14066000
Africa (FAO),,1994,16439000
Africa (FAO),,1995,17942000
Africa (FAO),,1996,18229000
Africa (FAO),,1997,18418000
Africa (FAO),,1998,9523000
Africa (FAO),,1999,16219000
Africa (FAO),,2000,19356000
Africa (FAO),,2001,15613000
Africa (FAO),,2002,14913000
Africa (FAO),,2003,22004000
Africa (FAO),,2004,17230000
Africa (FAO),,2005,12510000
Africa (FAO),,2006,12127000
Africa (FAO),,2007,29147000
Africa (FAO),,2008,18130000
Africa (FAO),,2009,22178000
Africa (FAO),,2010,26047000
Africa (FAO),,2011,25248000
Africa (FAO),,2012,25264000
Africa (FAO),,2013,25264000
Africa (FAO),,2014,25284000
Africa (FAO),,2015,24546000
Africa (FAO),,2016,22544000
Africa (FAO),,2017,24663000
Africa (FAO),,2018,25947000
Africa (FAO),,2019,25781000
Africa (FAO),,2020,26125000
Africa (FAO),,2021,26574000
Albania,ALB,1991,0
Albania,ALB,1992,0
Albania,ALB,1993,0
Albania,ALB,1994,240000
Albania,ALB,1995,240000
Albania,ALB,1996,244000
Albania,ALB,1997,225000
Albania,ALB,1998,205000
Albania,ALB,1999,200000
Albania,ALB,2000,250000
Albania,ALB,2001,280000
Albania,ALB,2002,275000
Albania,ALB,2003,270000
Albania,ALB,2004,352000
Albania,ALB,2005,353000
Albania,ALB,2006,300000
Albania,ALB,2007,500000
Albania,ALB,2008,800000
Albania,ALB,2009,800000
Albania,ALB,2010,800000
Albania,ALB,2011,800000
Albania,ALB,2012,0
Albania,ALB,2013,0
Albania,ALB,2014,0
Albania,ALB,2015,0
Albania,ALB,2016,0
Albania,ALB,2017,0
Albania,ALB,2018,0
Albania,ALB,2019,0
Albania,ALB,2020,0
Albania,ALB,2021,0
Algeria,DZA,1961,10000
Algeria,DZA,1962,11000
Algeria,DZA,1963,10000
Algeria,DZA,1964,11000
Algeria,DZA,1965,11000
Algeria,DZA,1966,11000
Algeria,DZA,1967,11000
Algeria,DZA,1968,11000
Algeria,DZA,1969,12000
Algeria,DZA,1970,12000
Algeria,DZA,1971,12000
Algeria,DZA,1972,12000
Algeria,DZA,1973,12000
Algeria,DZA,1974,12000
Algeria,DZA,1975,12000
Algeria,DZA,1976,12000
Algeria,DZA,1977,13000
Algeria,DZA,1978,13000
Algeria,DZA,1979,13000
Algeria,DZA,1980,13000
Algeria,DZA,1981,13000
Algeria,DZA,1982,14000
Algeria,DZA,1983,14000
Algeria,DZA,1984,16000
Algeria,DZA,1985,16000
Algeria,DZA,1986,18000
Algeria,DZA,1987,18000
Algeria,DZA,1988,19000
Algeria,DZA,1989,20000
Algeria,DZA,1990,21000
Algeria,DZA,1991,22000
Algeria,DZA,1992,23000
Algeria,DZA,1993,24000
Algeria,DZA,1994,24000
Algeria,DZA,1995,24000
Algeria,DZA,1996,24000
Algeria,DZA,1997,24000
Algeria,DZA,1998,24000
Algeria,DZA,1999,24000
Algeria,DZA,2000,24000
Algeria,DZA,2001,24000
Algeria,DZA,2002,24000
Algeria,DZA,2003,24000
Algeria,DZA,2004,24000
Algeria,DZA,2005,24000
Algeria,DZA,2006,24000
Algeria,DZA,2007,24000
Algeria,DZA,2008,24000
Algeria,DZA,2009,25000
Algeria,DZA,2010,27000
Algeria,DZA,2011,29000
Algeria,DZA,2012,30000
Algeria,DZA,2013,35000
Algeria,DZA,2014,35000
Algeria,DZA,2015,36000
Algeria,DZA,2016,37000
Algeria,DZA,2017,38000
Algeria,DZA,2018,42000
Algeria,DZA,2019,44000
Algeria,DZA,2020,46000
Algeria,DZA,2021,48000
Americas (FAO),,1961,553000
Americas (FAO),,1962,561000
Americas (FAO),,1963,595000
Americas (FAO),,1964,607000
Americas (FAO),,1965,618000
Americas (FAO),,1966,643000
Americas (FAO),,1967,595000
Americas (FAO),,1968,623000
Americas (FAO),,1969,659000
Americas (FAO),,1970,665000
Americas (FAO),,1971,694000
Americas (FAO),,1972,645000
Americas (FAO),,1973,649000
Americas (FAO),,1974,647000
Americas (FAO),,1975,650000
Americas (FAO),,1976,573000
Americas (FAO),,1977,570000
Americas (FAO),,1978,582000
Americas (FAO),,1979,597000
Americas (FAO),,1980,609000
Americas (FAO),,1981,746000
Americas (FAO),,1982,791000
Americas (FAO),,1983,797000
Americas (FAO),,1984,811000
Americas (FAO),,1985,812000
Americas (FAO),,1986,827000
Americas (FAO),,1987,1005000
Americas (FAO),,1988,1077000
Americas (FAO),,1989,868000
Americas (FAO),,1990,820000
Americas (FAO),,1991,543000
Americas (FAO),,1992,525000
Americas (FAO),,1993,551000
Americas (FAO),,1994,560000
Americas (FAO),,1995,572000
Americas (FAO),,1996,572000
Americas (FAO),,1997,575000
Americas (FAO),,1998,575000
Americas (FAO),,1999,585000
Americas (FAO),,2000,590000
Americas (FAO),,2001,595000
Americas (FAO),,2002,605000
Americas (FAO),,2003,620000
Americas (FAO),,2004,625000
Americas (FAO),,2005,630000
Americas (FAO),,2006,635000
Americas (FAO),,2007,650000
Americas (FAO),,2008,655000
Americas (FAO),,2009,665000
Americas (FAO),,2010,685000
Americas (FAO),,2011,700000
Americas (FAO),,2012,705000
Americas (FAO),,2013,725000
Americas (FAO),,2014,726000
Americas (FAO),,2015,717000
Americas (FAO),,2016,713000
Americas (FAO),,2017,704000
Americas (FAO),,2018,714000
Americas (FAO),,2019,715000
Americas (FAO),,2020,721000
Americas (FAO),,2021,724000
Argentina,ARG,1961,110000
Argentina,ARG,1962,120000
Argentina,ARG,1963,130000
Argentina,ARG,1964,140000
Argentina,ARG,1965,150000
Argentina,ARG,1966,160000
Argentina,ARG,1967,110000
Argentina,ARG,1968,120000
Argentina,ARG,1969,150000
Argentina,ARG,1970,150000
Argentina,ARG,1971,150000
Argentina,ARG,1972,100000
Argentina,ARG,1973,95000
Argentina,ARG,1974,90000
Argentina,ARG,1975,90000
Argentina,ARG,1976,80000
Argentina,ARG,1977,75000
Argentina,ARG,1978,85000
Argentina,ARG,1979,100000
Argentina,ARG,1980,120000
Argentina,ARG,1981,120000
Argentina,ARG,1982,165000
Argentina,ARG,1983,170000
Argentina,ARG,1984,180000
Argentina,ARG,1985,180000
Argentina,ARG,1986,190000
Argentina,ARG,1987,190000
Argentina,ARG,1988,190000
Argentina,ARG,1989,180000
Argentina,ARG,1990,200000
Argentina,ARG,1991,133000
Argentina,ARG,1992,179000
Argentina,ARG,1993,160000
Argentina,ARG,1994,150000
Argentina,ARG,1995,140000
Argentina,ARG,1996,120000
Argentina,ARG,1997,120000
Argentina,ARG,1998,120000
Argentina,ARG,1999,130000
Argentina,ARG,2000,130000
Argentina,ARG,2001,130000
Argentina,ARG,2002,135000
Argentina,ARG,2003,140000
Argentina,ARG,2004,140000
Argentina,ARG,2005,140000
Argentina,ARG,2006,140000
Argentina,ARG,2007,150000
Argentina,ARG,2008,150000
Argentina,ARG,2009,150000
Argentina,ARG,2010,160000
Argentina,ARG,2011,165000
Argentina,ARG,2012,167000
Argentina,ARG,2013,169000
Argentina,ARG,2014,170000
Argentina,ARG,2015,165000
Argentina,ARG,2016,165000
Argentina,ARG,2017,165000
Argentina,ARG,2018,167000
Argentina,ARG,2019,166000
Argentina,ARG,2020,167000
Argentina,ARG,2021,167000
Asia,,1961,18683000
Asia,,1962,19711000
Asia,,1963,21761000
Asia,,1964,23817000
Asia,,1965,25875000
Asia,,1966,26977000
Asia,,1967,29099000
Asia,,1968,30989000
Asia,,1969,33254000
Asia,,1970,35351000
Asia,,1971,36502000
Asia,,1972,39547000
Asia,,1973,41754000
Asia,,1974,42939000
Asia,,1975,45027000
Asia,,1976,46746000
Asia,,1977,47813000
Asia,,1978,50034000
Asia,,1979,52276000
Asia,,1980,54262000
Asia,,1981,56393000
Asia,,1982,58324000
Asia,,1983,60815000
Asia,,1984,62094000
Asia,,1985,64847000
Asia,,1986,71956000
Asia,,1987,81209000
Asia,,1988,92801000
Asia,,1989,96374000
Asia,,1990,109686000
Asia,,1991,126911000
Asia,,1992,137374000
Asia,,1993,167815000
Asia,,1994,183491000
Asia,,1995,208374000
Asia,,1996,193312000
Asia,,1997,220789000
Asia,,1998,185516000
Asia,,1999,193541000
Asia,,2000,207989000
Asia,,2001,212762000
Asia,,2002,239846000
Asia,,2003,232860000
Asia,,2004,265887000
Asia,,2005,282991000
Asia,,2006,297517000
Asia,,2007,247463000
Asia,,2008,307320000
Asia,,2009,320274000
Asia,,2010,332432000
Asia,,2011,285502000
Asia,,2012,297692000
Asia,,2013,293072000
Asia,,2014,281705000
Asia,,2015,294804000
Asia,,2016,308206000
Asia,,2017,319855000
Asia,,2018,322075000
Asia,,2019,320936000
Asia,,2020,323604000
Asia,,2021,326221000
Asia (FAO),,1961,18683000
Asia (FAO),,1962,19711000
Asia (FAO),,1963,21762000
Asia (FAO),,1964,23819000
Asia (FAO),,1965,25879000
Asia (FAO),,1966,26980000
Asia (FAO),,1967,29101000
Asia (FAO),,1968,30991000
Asia (FAO),,1969,33256000
Asia (FAO),,1970,35354000
Asia (FAO),,1971,36505000
Asia (FAO),,1972,39549000
Asia (FAO),,1973,41755000
Asia (FAO),,1974,42940000
Asia (FAO),,1975,45028000
Asia (FAO),,1976,46747000
Asia (FAO),,1977,47813000
Asia (FAO),,1978,50034000
Asia (FAO),,1979,52276000
Asia (FAO),,1980,54263000
Asia (FAO),,1981,56393000
Asia (FAO),,1982,58324000
Asia (FAO),,1983,60815000
Asia (FAO),,1984,62094000
Asia (FAO),,1985,64847000
Asia (FAO),,1986,71956000
Asia (FAO),,1987,81209000
Asia (FAO),,1988,92801000
Asia (FAO),,1989,96374000
Asia (FAO),,1990,109686000
Asia (FAO),,1991,126911000
Asia (FAO),,1992,137374000
Asia (FAO),,1993,167815000
Asia (FAO),,1994,183491000
Asia (FAO),,1995,208374000
Asia (FAO),,1996,193312000
Asia (FAO),,1997,220789000
Asia (FAO),,1998,185516000
Asia (FAO),,1999,193541000
Asia (FAO),,2000,207989000
Asia (FAO),,2001,212762000
Asia (FAO),,2002,239846000
Asia (FAO),,2003,232860000
Asia (FAO),,2004,265887000
Asia (FAO),,2005,282991000
Asia (FAO),,2006,297517000
Asia (FAO),,2007,247463000
Asia (FAO),,2008,307320000
Asia (FAO),,2009,320274000
Asia (FAO),,2010,332432000
Asia (FAO),,2011,285502000
Asia (FAO),,2012,297692000
Asia (FAO),,2013,293072000
Asia (FAO),,2014,281705000
Asia (FAO),,2015,294804000
Asia (FAO),,2016,308207000
Asia (FAO),,2017,319855000
Asia (FAO),,2018,322075000
Asia (FAO),,2019,320936000
Asia (FAO),,2020,323606000
Asia (FAO),,2021,326220000
Austria,AUT,1961,159000
Austria,AUT,1962,149000
Austria,AUT,1963,118000
Austria,AUT,1964,104000
Austria,AUT,1965,97000
Austria,AUT,1966,63000
Austria,AUT,1967,88000
Austria,AUT,1968,81000
Austria,AUT,1969,72000
Austria,AUT,1970,58000
Austria,AUT,1971,46000
Austria,AUT,1972,37000
Austria,AUT,1973,32000
Austria,AUT,1974,26000
Austria,AUT,1975,27000
Austria,AUT,1976,25000
Austria,AUT,1977,16000
Austria,AUT,1978,19000
Austria,AUT,1979,22000
Austria,AUT,1980,21000
Austria,AUT,1981,24000
Austria,AUT,1982,23000
Austria,AUT,1983,23000
Austria,AUT,1984,25000
Austria,AUT,1985,24000
Austria,AUT,1986,21000
Austria,AUT,1987,25000
Austria,AUT,1988,25000
Austria,AUT,1989,21000
Austria,AUT,1990,26000
Austria,AUT,1991,27000
Austria,AUT,1992,27000
Austria,AUT,1993,26000
Austria,AUT,1994,24000
Austria,AUT,1995,27000
Austria,AUT,1996,22000
Austria,AUT,1997,21000
Austria,AUT,1998,22000
Austria,AUT,1999,26000
Austria,AUT,2000,22000
Austria,AUT,2001,22000
Austria,AUT,2002,22000
Austria,AUT,2003,41000
Austria,AUT,2004,20000
Austria,AUT,2005,22000
Austria,AUT,2006,21000
Austria,AUT,2007,22000
Austria,AUT,2008,25000
Austria,AUT,2009,25000
Austria,AUT,2010,24000
Austria,AUT,2011,20000
Austria,AUT,2012,25000
Austria,AUT,2013,25000
Austria,AUT,2014,27000
Austria,AUT,2015,30000
Austria,AUT,2016,45000
Austria,AUT,2017,34000
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0
Belgium,BEL,2003,0
Belgium,BEL,2004,0
Belgium,BEL,2005,5000
Belgium,BEL,2006,19000
Belgium,BEL,2007,5000
Belgium,BEL,2008,5000
Belgium,BEL,2009,5000
Belgium,BEL,2010,5000
Belgium,BEL,2011,5000
Belgium,BEL,2012,5000
Belgium,BEL,2013,5000
Belgium,BEL,2014,5000
Belgium,BEL,2015,4000
Belgium,BEL,2016,2000
Belgium,BEL,2017,4000
Belgium-Luxembourg (FAO),,1961,17000
Belgium-Luxembourg (FAO),,1962,15000
Belgium-Luxembourg (FAO),,1963,14000
Belgium-Luxembourg (FAO),,1964,13000
Belgium-Luxembourg (FAO),,1965,14000
Belgium-Luxembourg (FAO),,1966,13000
Belgium-Luxembourg (FAO),,1967,14000
Belgium-Luxembourg (FAO),,1968,34000
Belgium-Luxembourg (FAO),,1969,14000
Belgium-Luxembourg (FAO),,1970,36000
Belgium-Luxembourg (FAO),,1971,33000
Belgium-Luxembourg (FAO),,1972,15000
Belgium-Luxembourg (FAO),,1973,29000
Belgium-Luxembourg (FAO),,1974,16000
Belgium-Luxembourg (FAO),,1975,16000
Belgium-Luxembourg (FAO),,1976,23000
Belgium-Luxembourg (FAO),,1977,16000
Belgium-Luxembourg (FAO),,1978,22000
Belgium-Luxembourg (FAO),,1979,15000
Belgium-Luxembourg (FAO),,1980,16000
Belgium-Luxembourg (FAO),,1981,24000
Belgium-Luxembourg (FAO),,1982,18000
Belgium-Luxembourg (FAO),,1983,16000
Belgium-Luxembourg (FAO),,1984,16000
Belgium-Luxembourg (FAO),,1985,20000
Belgium-Luxembourg (FAO),,1986,20000
Belgium-Luxembourg (FAO),,1987,16000
Belgium-Luxembourg (FAO),,1988,15000
Belgium-Luxembourg (FAO),,1989,20000
Belgium-Luxembourg (FAO),,1990,18000
Belgium-Luxembourg (FAO),,1991,12000
Belgium-Luxembourg (FAO),,1992,14000
Belgium-Luxembourg (FAO),,1993,11000
Belgium-Luxembourg (FAO),,1994,10000
Belgium-Luxembourg (FAO),,1995,12000
Belgium-Luxembourg (FAO),,1996,11000
Belgium-Luxembourg (FAO),,1997,10000
Belgium-Luxembourg (FAO),,1998,9000
Belgium-Luxembourg (FAO),,1999,10000
Bosnia and Herzegovina,BIH,1992,10000
Bosnia and Herzegovina,BIH,1993,10000
Bosnia and Herzegovina,BIH,1994,10000
Bosnia and Herzegovina,BIH,1995,10000
Bosnia and Herzegovina,BIH,1996,10000
Bosnia and Herzegovina,BIH,1997,10000
Bosnia and Herzegovina,BIH,1998,10000
Bosnia and Herzegovina,BIH,1999,10000
Bosnia and Herzegovina,BIH,2000,10000
Bosnia and Herzegovina,BIH,2001,10000
Bosnia and Herzegovina,BIH,2002,10000
Bosnia and Herzegovina,BIH,2003,10000
Bosnia and Herzegovina,BIH,2004,10000
Bosnia and Herzegovina,BIH,2005,10000
Bosnia and Herzegovina,BIH,2006,10000
Bosnia and Herzegovina,BIH,2007,10000
Bosnia and Herzegovina,BIH,2008,15000
Bosnia and Herzegovina,BIH,2009,20000
Bosnia and Herzegovina,BIH,2010,25000
Bosnia and Herzegovina,BIH,2011,20000
Bosnia and Herzegovina,BIH,2012,24000
Bosnia and Herzegovina,BIH,2013,39000
Bosnia and Herzegovina,BIH,2014,30000
Bosnia and Herzegovina,BIH,2015,30000
Bosnia and Herzegovina,BIH,2016,27000
Bosnia and Herzegovina,BIH,2017,27000
Bosnia and Herzegovina,BIH,2018,30000
Bosnia and Herzegovina,BIH,2019,29000
Bosnia and Herzegovina,BIH,2020,28000
Bosnia and Herzegovina,BIH,2021,3000
Bulgaria,BGR,1961,375000
Bulgaria,BGR,1962,428000
Bulgaria,BGR,1963,381000
Bulgaria,BGR,1964,400000
Bulgaria,BGR,1965,560000
Bulgaria,BGR,1966,561000
Bulgaria,BGR,1967,684000
Bulgaria,BGR,1968,759000
Bulgaria,BGR,1969,700000
Bulgaria,BGR,1970,682000
Bulgaria,BGR,1971,703000
Bulgaria,BGR,1972,693000
Bulgaria,BGR,1973,659000
Bulgaria,BGR,1974,609000
Bulgaria,BGR,1975,612000
Bulgaria,BGR,1976,632000
Bulgaria,BGR,1977,653000
Bulgaria,BGR,1978,610000
Bulgaria,BGR,1979,587000
Bulgaria,BGR,1980,563000
Bulgaria,BGR,1981,532000
Bulgaria,BGR,1982,565000
Bulgaria,BGR,1983,572000
Bulgaria,BGR,1984,552000
Bulgaria,BGR,1985,599000
Bulgaria,BGR,1986,439000
Bulgaria,BGR,1987,422000
Bulgaria,BGR,1988,380000
Bulgaria,BGR,1989,400000
Bulgaria,BGR,1990,400000
Bulgaria,BGR,1991,300000
Bulgaria,BGR,1992,250000
Bulgaria,BGR,1993,250000
Bulgaria,BGR,1994,300000
Bulgaria,BGR,1995,299000
Bulgaria,BGR,1996,290000
Bulgaria,BGR,1997,250000
Bulgaria,BGR,1998,230000
Bulgaria,BGR,1999,100000
Bulgaria,BGR,2000,200000
Bulgaria,BGR,2001,250000
Bulgaria,BGR,2002,300000
Bulgaria,BGR,2003,400000
Bulgaria,BGR,2004,454000
Bulgaria,BGR,2005,281000
Bulgaria,BGR,2006,196000
Bulgaria,BGR,2007,248000
Bulgaria,BGR,2008,148000
Bulgaria,BGR,2009,135000
Bulgaria,BGR,2010,81000
Bulgaria,BGR,2011,56000
Bulgaria,BGR,2012,50000
Bulgaria,BGR,2013,26000
Bulgaria,BGR,2014,23000
Bulgaria,BGR,2015,21000
Bulgaria,BGR,2016,16000
Bulgaria,BGR,2017,17000
Bulgaria,BGR,2018,16000
Canada,CAN,1961,314000
Canada,CAN,1962,311000
Canada,CAN,1963,332000
Canada,CAN,1964,331000
Canada,CAN,1965,331000
Canada,CAN,1966,339000
Canada,CAN,1967,348000
Canada,CAN,1968,364000
Canada,CAN,1969,377000
Canada,CAN,1970,386000
Canada,CAN,1971,417000
Canada,CAN,1972,409000
Canada,CAN,1973,409000
Canada,CAN,1974,409000
Canada,CAN,1975,409000
Canada,CAN,1976,342000
Canada,CAN,1977,342000
Canada,CAN,1978,342000
Canada,CAN,1979,342000
Canada,CAN,1980,342000
Canada,CAN,1981,486000
Canada,CAN,1982,486000
Canada,CAN,1983,486000
Canada,CAN,1984,486000
Canada,CAN,1985,486000
Canada,CAN,1986,486000
Canada,CAN,1987,660000
Canada,CAN,1988,730000
Canada,CAN,1989,530000
Canada,CAN,1990,460000
Canada,CAN,1991,280000
Canada,CAN,1992,215000
Canada,CAN,1993,230000
Canada,CAN,1994,250000
Canada,CAN,1995,280000
Canada,CAN,1996,300000
Canada,CAN,1997,300000
Canada,CAN,1998,300000
Canada,CAN,1999,300000
Canada,CAN,2000,300000
Canada,CAN,2001,300000
Canada,CAN,2002,300000
Canada,CAN,2003,300000
Canada,CAN,2004,300000
Canada,CAN,2005,300000
Canada,CAN,2006,300000
Canada,CAN,2007,300000
Canada,CAN,2008,300000
Canada,CAN,2009,310000
Canada,CAN,2010,320000
Canada,CAN,2011,330000
Canada,CAN,2012,330000
Canada,CAN,2013,350000
Canada,CAN,2014,350000
Canada,CAN,2015,343000
Canada,CAN,2016,335000
Canada,CAN,2017,329000
Canada,CAN,2018,335000
Canada,CAN,2019,336000
Canada,CAN,2020,338000
Canada,CAN,2021,340000
Caribbean (FAO),,1961,19000
Caribbean (FAO),,1962,19000
Caribbean (FAO),,1963,20000
Caribbean (FAO),,1964,20000
Caribbean (FAO),,1965,20000
Caribbean (FAO),,1966,21000
Caribbean (FAO),,1967,22000
Caribbean (FAO),,1968,24000
Caribbean (FAO),,1969,24000
Caribbean (FAO),,1970,25000
Caribbean (FAO),,1971,25000
Caribbean (FAO),,1972,26000
Caribbean (FAO),,1973,27000
Caribbean (FAO),,1974,27000
Caribbean (FAO),,1975,28000
Caribbean (FAO),,1976,28000
Caribbean (FAO),,1977,29000
Caribbean (FAO),,1978,29000
Caribbean (FAO),,1979,29000
Caribbean (FAO),,1980,29000
Caribbean (FAO),,1981,29000
Caribbean (FAO),,1982,27000
Caribbean (FAO),,1983,27000
Caribbean (FAO),,1984,27000
Caribbean (FAO),,1985,27000
Caribbean (FAO),,1986,27000
Caribbean (FAO),,1987,30000
Caribbean (FAO),,1988,30000
Caribbean (FAO),,1989,30000
Caribbean (FAO),,1990,30000
Caribbean (FAO),,1991,30000
Caribbean (FAO),,1992,30000
Caribbean (FAO),,1993,30000
Caribbean (FAO),,1994,30000
Caribbean (FAO),,1995,30000
Caribbean (FAO),,1996,30000
Caribbean (FAO),,1997,30000
Caribbean (FAO),,1998,30000
Caribbean (FAO),,1999,30000
Caribbean (FAO),,2000,30000
Caribbean (FAO),,2001,35000
Caribbean (FAO),,2002,35000
Caribbean (FAO),,2003,40000
Caribbean (FAO),,2004,40000
Caribbean (FAO),,2005,40000
Caribbean (FAO),,2006,40000
Caribbean (FAO),,2007,40000
Caribbean (FAO),,2008,40000
Caribbean (FAO),,2009,40000
Caribbean (FAO),,2010,40000
Caribbean (FAO),,2011,40000
Caribbean (FAO),,2012,40000
Caribbean (FAO),,2013,40000
Caribbean (FAO),,2014,40000
Caribbean (FAO),,2015,40000
Caribbean (FAO),,2016,40000
Caribbean (FAO),,2017,40000
Caribbean (FAO),,2018,40000
Caribbean (FAO),,2019,40000
Caribbean (FAO),,2020,40000
Caribbean (FAO),,2021,40000
Central Asia (FAO),,1992,200000
Central Asia (FAO),,1993,160000
Central Asia (FAO),,1994,100000
Central Asia (FAO),,1995,30000
Central Asia (FAO),,1996,30000
Central Asia (FAO),,1997,30000
Central Asia (FAO),,1998,40000
Central Asia (FAO),,1999,40000
Central Asia (FAO),,2000,50000
Central Asia (FAO),,2001,50000
Central Asia (FAO),,2002,50000
Central Asia (FAO),,2003,65000
Central Asia (FAO),,2004,82000
Central Asia (FAO),,2005,87000
Central Asia (FAO),,2006,73000
Central Asia (FAO),,2007,80000
Central Asia (FAO),,2008,70000
Central Asia (FAO),,2009,57000
Central Asia (FAO),,2010,60000
Central Asia (FAO),,2011,54000
Central Asia (FAO),,2012,53000
Central Asia (FAO),,2013,54000
Central Asia (FAO),,2014,56000
Central Asia (FAO),,2015,50000
Central Asia (FAO),,2016,54000
Central Asia (FAO),,2017,54000
Central Asia (FAO),,2018,43000
Central Asia (FAO),,2019,42000
Central Asia (FAO),,2020,44000
Central Asia (FAO),,2021,44000
China,CHN,1961,15000000
China,CHN,1962,16000000
China,CHN,1963,18000000
China,CHN,1964,20000000
China,CHN,1965,22000000
China,CHN,1966,23000000
China,CHN,1967,25000000
China,CHN,1968,27000000
China,CHN,1969,29000000
China,CHN,1970,31000000
China,CHN,1971,32000000
China,CHN,1972,35000000
China,CHN,1973,37000000
China,CHN,1974,38000000
China,CHN,1975,40000000
China,CHN,1976,42000000
China,CHN,1977,43000000
China,CHN,1978,45000000
China,CHN,1979,47000000
China,CHN,1980,49000000
China,CHN,1981,51000000
China,CHN,1982,53000000
China,CHN,1983,55000000
China,CHN,1984,56000000
China,CHN,1985,59000000
China,CHN,1986,66000000
China,CHN,1987,75000000
China,CHN,1988,86000000
China,CHN,1989,90000000
China,CHN,1990,103000000
China,CHN,1991,120000000
China,CHN,1992,130000000
China,CHN,1993,160000000
China,CHN,1994,175000000
China,CHN,1995,199500000
China,CHN,1996,185000000
China,CHN,1997,212400000
China,CHN,1998,177000000
China,CHN,1999,185000000
China,CHN,2000,200000000
China,CHN,2001,205000000
China,CHN,2002,232506000
China,CHN,2003,225230000
China,CHN,2004,258121000
China,CHN,2005,275000000
China,CHN,2006,290000000
China,CHN,2007,240000000
China,CHN,2008,300000000
China,CHN,2009,313000000
China,CHN,2010,325000000
China,CHN,2011,277827000
China,CHN,2012,290220000
China,CHN,2013,285330000
China,CHN,2014,273450000
China,CHN,2015,285654000
China,CHN,2016,300764000
China,CHN,2017,311458000
China,CHN,2018,313020000
China,CHN,2019,311633000
China,CHN,2020,313839000
China,CHN,2021,316234000
China (FAO),,1961,16477000
China (FAO),,1962,17517000
China (FAO),,1963,19478000
China (FAO),,1964,21460000
China (FAO),,1965,23474000
China (FAO),,1966,24559000
China (FAO),,1967,26534000
China (FAO),,1968,28411000
China (FAO),,1969,30518000
China (FAO),,1970,32506000
China (FAO),,1971,33490000
China (FAO),,1972,36425000
China (FAO),,1973,38385000
China (FAO),,1974,39363000
China (FAO),,1975,41368000
China (FAO),,1976,43339000
China (FAO),,1977,44376000
China (FAO),,1978,46428000
China (FAO),,1979,48503000
China (FAO),,1980,50460000
China (FAO),,1981,52402000
China (FAO),,1982,54440000
China (FAO),,1983,56779000
China (FAO),,1984,57757000
China (FAO),,1985,60609000
China (FAO),,1986,67561000
China (FAO),,1987,76717000
China (FAO),,1988,87973000
China (FAO),,1989,91964000
China (FAO),,1990,105074000
China (FAO),,1991,121860000
China (FAO),,1992,131945000
China (FAO),,1993,162305000
China (FAO),,1994,178049000
China (FAO),,1995,202927000
China (FAO),,1996,187980000
China (FAO),,1997,215422000
