Entity,Code,Year,"Meat, goose and guinea fowl | 00001073 || Producing or slaughtered animals | 005321 || animals"
Africa (FAO),,2004,11848000
Africa (FAO),,2005,11948000
Africa (FAO),,2006,11948000
Africa (FAO),,2007,11954000
Africa (FAO),,2008,11957000
Africa (FAO),,2009,12045000
Africa (FAO),,2010,12122000
Africa (FAO),,2011,12135000
Africa (FAO),,2012,12213000
Africa (FAO),,2013,12987000
Africa (FAO),,2014,13520000
Africa (FAO),,2015,14076000
Africa (FAO),,2016,13506000
Africa (FAO),,2017,13643000
Africa (FAO),,2018,14378000
Africa (FAO),,2019,9400000
Africa (FAO),,2020,9303000
Africa (FAO),,2021,9767000
Americas (FAO),,1961,519000
Americas (FAO),,1962,519000
Americas (FAO),,1963,552000
Americas (FAO),,1964,596000
Americas (FAO),,1965,620000
Americas (FAO),,1966,652000
Americas (FAO),,1967,607000
Americas (FAO),,1968,604000
Americas (FAO),,1969,596000
Americas (FAO),,1970,630000
Americas (FAO),,1971,666000
Americas (FAO),,1972,683000
Americas (FAO),,1973,719000
Americas (FAO),,1974,662000
Americas (FAO),,1975,490000
Americas (FAO),,1976,589000
Americas (FAO),,1977,375000
Americas (FAO),,1978,425000
Americas (FAO),,1979,453000
Americas (FAO),,1980,511000
Americas (FAO),,1981,541000
Americas (FAO),,1982,597000
Americas (FAO),,1983,629000
Americas (FAO),,1984,740000
Americas (FAO),,1985,661000
Americas (FAO),,1986,680000
Americas (FAO),,1987,792000
Americas (FAO),,1988,837000
Americas (FAO),,1989,721000
Americas (FAO),,1990,718000
Americas (FAO),,1991,466000
Americas (FAO),,1992,488000
Americas (FAO),,1993,510000
Americas (FAO),,1994,510000
Americas (FAO),,1995,500000
Americas (FAO),,1996,490000
Americas (FAO),,1997,495000
Americas (FAO),,1998,495000
Americas (FAO),,1999,505000
Americas (FAO),,2000,511000
Americas (FAO),,2001,514000
Americas (FAO),,2002,524000
Americas (FAO),,2003,539000
Americas (FAO),,2004,542000
Americas (FAO),,2005,547000
Americas (FAO),,2006,556000
Americas (FAO),,2007,566000
Americas (FAO),,2008,571000
Americas (FAO),,2009,571000
Americas (FAO),,2010,571000
Americas (FAO),,2011,591000
Americas (FAO),,2012,600000
Americas (FAO),,2013,622000
Americas (FAO),,2014,613000
Americas (FAO),,2015,596000
Americas (FAO),,2016,607000
Americas (FAO),,2017,598000
Americas (FAO),,2018,3104000
Americas (FAO),,2019,3007000
Americas (FAO),,2020,2210000
Americas (FAO),,2021,2011000
Argentina,ARG,1961,110000
Argentina,ARG,1962,120000
Argentina,ARG,1963,130000
Argentina,ARG,1964,140000
Argentina,ARG,1965,150000
Argentina,ARG,1966,160000
Argentina,ARG,1967,110000
Argentina,ARG,1968,120000
Argentina,ARG,1969,150000
Argentina,ARG,1970,150000
Argentina,ARG,1971,150000
Argentina,ARG,1972,150000
Argentina,ARG,1973,150000
Argentina,ARG,1974,150000
Argentina,ARG,1975,140000
Argentina,ARG,1976,130000
Argentina,ARG,1977,110000
Argentina,ARG,1978,110000
Argentina,ARG,1979,135000
Argentina,ARG,1980,140000
Argentina,ARG,1981,140000
Argentina,ARG,1982,190000
Argentina,ARG,1983,205000
Argentina,ARG,1984,225000
Argentina,ARG,1985,225000
Argentina,ARG,1986,240000
Argentina,ARG,1987,240000
Argentina,ARG,1988,240000
Argentina,ARG,1989,240000
Argentina,ARG,1990,260000
Argentina,ARG,1991,173000
Argentina,ARG,1992,233000
Argentina,ARG,1993,210000
Argentina,ARG,1994,200000
Argentina,ARG,1995,180000
Argentina,ARG,1996,160000
Argentina,ARG,1997,160000
Argentina,ARG,1998,160000
Argentina,ARG,1999,170000
Argentina,ARG,2000,170000
Argentina,ARG,2001,170000
Argentina,ARG,2002,175000
Argentina,ARG,2003,180000
Argentina,ARG,2004,180000
Argentina,ARG,2005,180000
Argentina,ARG,2006,180000
Argentina,ARG,2007,180000
Argentina,ARG,2008,180000
Argentina,ARG,2009,180000
Argentina,ARG,2010,180000
Argentina,ARG,2011,180000
Argentina,ARG,2012,186000
Argentina,ARG,2013,194000
Argentina,ARG,2014,192000
Argentina,ARG,2015,184000
Argentina,ARG,2016,184000
Argentina,ARG,2017,182000
Argentina,ARG,2018,181000
Argentina,ARG,2019,182000
Argentina,ARG,2020,180000
Argentina,ARG,2021,179000
Asia,,1961,21219000
Asia,,1962,23128000
Asia,,1963,25167000
Asia,,1964,27307000
Asia,,1965,29529000
Asia,,1966,31528000
Asia,,1967,33538000
Asia,,1968,35715000
Asia,,1969,37818000
Asia,,1970,40024000
Asia,,1971,42039000
Asia,,1972,44129000
Asia,,1973,46483000
Asia,,1974,48546000
Asia,,1975,50631000
Asia,,1976,52321000
Asia,,1977,54455000
Asia,,1978,56802000
Asia,,1979,59015000
Asia,,1980,61017000
Asia,,1981,63097000
Asia,,1982,65477000
Asia,,1983,67844000
Asia,,1984,69421000
Asia,,1985,70100000
Asia,,1986,79481000
Asia,,1987,92246000
Asia,,1988,124652000
Asia,,1989,130331000
Asia,,1990,148197000
Asia,,1991,187165000
Asia,,1992,191623000
Asia,,1993,218790000
Asia,,1994,239743000
Asia,,1995,338969000
Asia,,1996,347827000
Asia,,1997,384474000
Asia,,1998,422068000
Asia,,1999,436387000
Asia,,2000,443180000
Asia,,2001,443869000
Asia,,2002,431480000
Asia,,2003,446762000
Asia,,2004,455003000
Asia,,2005,490138000
Asia,,2006,491530000
Asia,,2007,541894000
Asia,,2008,557360000
Asia,,2009,590994000
Asia,,2010,606164000
Asia,,2011,624008000
Asia,,2012,664119000
Asia,,2013,654933000
Asia,,2014,666297000
Asia,,2015,609617000
Asia,,2016,629046000
Asia,,2017,668622000
Asia,,2018,706473000
Asia,,2019,703131000
Asia,,2020,715568000
Asia,,2021,727053000
Asia (FAO),,1961,21219000
Asia (FAO),,1962,23128000
Asia (FAO),,1963,25167000
Asia (FAO),,1964,27307000
Asia (FAO),,1965,29529000
Asia (FAO),,1966,31528000
Asia (FAO),,1967,33538000
Asia (FAO),,1968,35715000
Asia (FAO),,1969,37818000
Asia (FAO),,1970,40024000
Asia (FAO),,1971,42039000
Asia (FAO),,1972,44129000
Asia (FAO),,1973,46483000
Asia (FAO),,1974,48546000
Asia (FAO),,1975,50631000
Asia (FAO),,1976,52321000
Asia (FAO),,1977,54455000
Asia (FAO),,1978,56802000
Asia (FAO),,1979,59015000
Asia (FAO),,1980,61017000
Asia (FAO),,1981,63097000
Asia (FAO),,1982,65477000
Asia (FAO),,1983,67844000
Asia (FAO),,1984,69421000
Asia (FAO),,1985,70100000
Asia (FAO),,1986,79481000
Asia (FAO),,1987,92246000
Asia (FAO),,1988,124652000
Asia (FAO),,1989,130331000
Asia (FAO),,1990,148197000
Asia (FAO),,1991,187165000
Asia (FAO),,1992,191623000
Asia (FAO),,1993,218790000
Asia (FAO),,1994,239743000
Asia (FAO),,1995,338969000
Asia (FAO),,1996,347827000
Asia (FAO),,1997,384474000
Asia (FAO),,1998,422068000
Asia (FAO),,1999,436387000
Asia (FAO),,2000,443180000
Asia (FAO),,2001,443869000
Asia (FAO),,2002,431480000
Asia (FAO),,2003,446762000
Asia (FAO),,2004,455003000
Asia (FAO),,2005,490138000
Asia (FAO),,2006,491531000
Asia (FAO),,2007,541894000
Asia (FAO),,2008,557360000
Asia (FAO),,2009,590994000
Asia (FAO),,2010,606164000
Asia (FAO),,2011,624008000
Asia (FAO),,2012,664119000
Asia (FAO),,2013,654932000
Asia (FAO),,2014,666298000
Asia (FAO),,2015,609618000
Asia (FAO),,2016,629045000
Asia (FAO),,2017,668622000
Asia (FAO),,2018,706472000
Asia (FAO),,2019,703131000
Asia (FAO),,2020,715568000
Asia (FAO),,2021,727053000
Austria,AUT,1961,445000
Austria,AUT,1962,420000
Austria,AUT,1963,330000
Austria,AUT,1964,290000
Austria,AUT,1965,270000
Austria,AUT,1966,180000
Austria,AUT,1967,245000
Austria,AUT,1968,227000
Austria,AUT,1969,200000
Austria,AUT,1970,163000
Austria,AUT,1971,130000
Austria,AUT,1972,103000
Austria,AUT,1973,90000
Austria,AUT,1974,73000
Austria,AUT,1975,76000
Austria,AUT,1976,70000
Austria,AUT,1977,45000
Austria,AUT,1978,53000
Austria,AUT,1979,62000
Austria,AUT,1980,59000
Austria,AUT,1981,67000
Austria,AUT,1982,65000
Austria,AUT,1983,64000
Austria,AUT,1984,70000
Austria,AUT,1985,62000
Austria,AUT,1986,67000
Austria,AUT,1987,72000
Austria,AUT,1988,64000
Austria,AUT,1989,57000
Austria,AUT,1990,54000
Austria,AUT,1991,41000
Austria,AUT,1992,38000
Austria,AUT,1993,36000
Austria,AUT,1994,31000
Austria,AUT,1995,25000
Austria,AUT,1996,35000
Austria,AUT,1997,38000
Austria,AUT,1998,41000
Austria,AUT,1999,45000
Austria,AUT,2000,45000
Austria,AUT,2001,45000
Austria,AUT,2002,45000
Austria,AUT,2003,45000
Austria,AUT,2004,75000
Austria,AUT,2005,76000
Austria,AUT,2006,49000
Austria,AUT,2007,78000
Austria,AUT,2008,88000
Austria,AUT,2009,86000
Austria,AUT,2010,86000
Austria,AUT,2011,89000
Austria,AUT,2012,96000
Austria,AUT,2013,97000
Austria,AUT,2014,96000
Austria,AUT,2015,106000
Austria,AUT,2016,106000
Austria,AUT,2017,121000
Austria,AUT,2018,133000
Austria,AUT,2019,136000
Bosnia and Herzegovina,BIH,1993,0
Bosnia and Herzegovina,BIH,1994,0
Bosnia and Herzegovina,BIH,1995,0
Bosnia and Herzegovina,BIH,1996,0
Bosnia and Herzegovina,BIH,1997,0
Bosnia and Herzegovina,BIH,1998,0
Bosnia and Herzegovina,BIH,1999,0
Bosnia and Herzegovina,BIH,2000,0
Bosnia and Herzegovina,BIH,2001,0
Bosnia and Herzegovina,BIH,2002,0
Bosnia and Herzegovina,BIH,2003,0
Bosnia and Herzegovina,BIH,2004,0
Bosnia and Herzegovina,BIH,2005,0
Bosnia and Herzegovina,BIH,2006,0
Bosnia and Herzegovina,BIH,2007,0
Bosnia and Herzegovina,BIH,2008,0
Bosnia and Herzegovina,BIH,2009,0
Bosnia and Herzegovina,BIH,2010,0
Bosnia and Herzegovina,BIH,2011,0
Bosnia and Herzegovina,BIH,2012,0
Bosnia and Herzegovina,BIH,2013,0
Bosnia and Herzegovina,BIH,2014,0
Bosnia and Herzegovina,BIH,2015,0
Bosnia and Herzegovina,BIH,2016,0
Bosnia and Herzegovina,BIH,2017,0
Bosnia and Herzegovina,BIH,2018,0
Bosnia and Herzegovina,BIH,2019,0
Bosnia and Herzegovina,BIH,2020,0
Bosnia and Herzegovina,BIH,2021,0
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,75000
Bulgaria,BGR,1992,65000
Bulgaria,BGR,1993,67000
Bulgaria,BGR,1994,87000
Bulgaria,BGR,1995,94000
Bulgaria,BGR,1996,98000
Bulgaria,BGR,1997,90000
Bulgaria,BGR,1998,88000
Bulgaria,BGR,1999,41000
Bulgaria,BGR,2000,89000
Bulgaria,BGR,2001,115000
Bulgaria,BGR,2002,172000
Bulgaria,BGR,2003,292000
Bulgaria,BGR,2004,173000
Bulgaria,BGR,2005,120000
Bulgaria,BGR,2006,120000
Bulgaria,BGR,2007,123000
Bulgaria,BGR,2008,54000
Bulgaria,BGR,2009,69000
Bulgaria,BGR,2010,58000
Bulgaria,BGR,2011,82000
Bulgaria,BGR,2012,48000
Bulgaria,BGR,2013,45000
Bulgaria,BGR,2014,21000
Bulgaria,BGR,2015,16000
Bulgaria,BGR,2016,16000
Bulgaria,BGR,2017,14000
Bulgaria,BGR,2018,23000
Bulgaria,BGR,2019,29000
Canada,CAN,1961,296000
Canada,CAN,1962,285000
Canada,CAN,1963,305000
Canada,CAN,1964,337000
Canada,CAN,1965,349000
Canada,CAN,1966,364000
Canada,CAN,1967,376000
Canada,CAN,1968,364000
Canada,CAN,1969,333000
Canada,CAN,1970,371000
Canada,CAN,1971,409000
Canada,CAN,1972,416000
Canada,CAN,1973,443000
Canada,CAN,1974,382000
Canada,CAN,1975,217000
Canada,CAN,1976,326000
Canada,CAN,1977,131000
Canada,CAN,1978,180000
Canada,CAN,1979,183000
Canada,CAN,1980,244000
Canada,CAN,1981,280000
Canada,CAN,1982,285000
Canada,CAN,1983,300000
Canada,CAN,1984,388000
Canada,CAN,1985,308000
Canada,CAN,1986,308000
Canada,CAN,1987,416000
Canada,CAN,1988,460000
Canada,CAN,1989,343000
Canada,CAN,1990,313000
Canada,CAN,1991,173000
Canada,CAN,1992,130000
Canada,CAN,1993,140000
Canada,CAN,1994,150000
Canada,CAN,1995,170000
Canada,CAN,1996,180000
Canada,CAN,1997,180000
Canada,CAN,1998,180000
Canada,CAN,1999,180000
Canada,CAN,2000,180000
Canada,CAN,2001,180000
Canada,CAN,2002,180000
Canada,CAN,2003,180000
Canada,CAN,2004,180000
Canada,CAN,2005,180000
Canada,CAN,2006,180000
Canada,CAN,2007,180000
Canada,CAN,2008,180000
Canada,CAN,2009,180000
Canada,CAN,2010,180000
Canada,CAN,2011,200000
Canada,CAN,2012,200000
Canada,CAN,2013,215000
Canada,CAN,2014,207000
Canada,CAN,2015,193000
Canada,CAN,2016,200000
Canada,CAN,2017,195000
Canada,CAN,2018,199000
Canada,CAN,2019,199000
Canada,CAN,2020,200000
Canada,CAN,2021,201000
Caribbean (FAO),,1961,11000
Caribbean (FAO),,1962,11000
Caribbean (FAO),,1963,11000
Caribbean (FAO),,1964,11000
Caribbean (FAO),,1965,13000
Caribbean (FAO),,1966,13000
Caribbean (FAO),,1967,13000
Caribbean (FAO),,1968,13000
Caribbean (FAO),,1969,14000
Caribbean (FAO),,1970,14000
Caribbean (FAO),,1971,14000
Caribbean (FAO),,1972,16000
Caribbean (FAO),,1973,16000
Caribbean (FAO),,1974,17000
Caribbean (FAO),,1975,18000
Caribbean (FAO),,1976,18000
Caribbean (FAO),,1977,18000
Caribbean (FAO),,1978,17000
Caribbean (FAO),,1979,18000
Caribbean (FAO),,1980,18000
Caribbean (FAO),,1981,18000
Caribbean (FAO),,1982,17000
Caribbean (FAO),,1983,17000
Caribbean (FAO),,1984,17000
Caribbean (FAO),,1985,17000
Caribbean (FAO),,1986,17000
Caribbean (FAO),,1987,20000
Caribbean (FAO),,1988,20000
Caribbean (FAO),,1989,20000
Caribbean (FAO),,1990,20000
Caribbean (FAO),,1991,20000
Caribbean (FAO),,1992,20000
Caribbean (FAO),,1993,20000
Caribbean (FAO),,1994,20000
Caribbean (FAO),,1995,20000
Caribbean (FAO),,1996,20000
Caribbean (FAO),,1997,20000
Caribbean (FAO),,1998,20000
Caribbean (FAO),,1999,20000
Caribbean (FAO),,2000,20000
Caribbean (FAO),,2001,23000
Caribbean (FAO),,2002,23000
Caribbean (FAO),,2003,26000
Caribbean (FAO),,2004,26000
Caribbean (FAO),,2005,26000
Caribbean (FAO),,2006,26000
Caribbean (FAO),,2007,26000
Caribbean (FAO),,2008,26000
Caribbean (FAO),,2009,26000
Caribbean (FAO),,2010,26000
Caribbean (FAO),,2011,26000
Caribbean (FAO),,2012,26000
Caribbean (FAO),,2013,26000
Caribbean (FAO),,2014,26000
Caribbean (FAO),,2015,26000
Caribbean (FAO),,2016,26000
Caribbean (FAO),,2017,26000
Caribbean (FAO),,2018,26000
Caribbean (FAO),,2019,26000
Caribbean (FAO),,2020,26000
Caribbean (FAO),,2021,26000
Central Asia (FAO),,2019,280000
Central Asia (FAO),,2020,250000
Central Asia (FAO),,2021,250000
China,CHN,1961,16000000
China,CHN,1962,18000000
China,CHN,1963,20000000
China,CHN,1964,22000000
China,CHN,1965,24000000
China,CHN,1966,26000000
China,CHN,1967,28000000
China,CHN,1968,30000000
China,CHN,1969,32000000
China,CHN,1970,34000000
China,CHN,1971,36000000
China,CHN,1972,38000000
China,CHN,1973,40000000
China,CHN,1974,42000000
China,CHN,1975,44000000
China,CHN,1976,46000000
China,CHN,1977,48000000
China,CHN,1978,50000000
China,CHN,1979,52000000
China,CHN,1980,54000000
China,CHN,1981,56000000
China,CHN,1982,58000000
China,CHN,1983,60000000
China,CHN,1984,61000000
China,CHN,1985,62000000
China,CHN,1986,71000000
China,CHN,1987,83000000
China,CHN,1988,115000000
China,CHN,1989,121000000
China,CHN,1990,138000000
China,CHN,1991,177000000
China,CHN,1992,180000000
China,CHN,1993,206000000
China,CHN,1994,225000000
China,CHN,1995,325000000
China,CHN,1996,334500000
China,CHN,1997,371000000
China,CHN,1998,408000000
China,CHN,1999,422650000
China,CHN,2000,431000000
China,CHN,2001,432000000
China,CHN,2002,420000000
China,CHN,2003,435000000
China,CHN,2004,443000000
China,CHN,2005,478000000
China,CHN,2006,479000000
China,CHN,2007,530000000
China,CHN,2008,545557000
China,CHN,2009,579440000
China,CHN,2010,594380000
China,CHN,2011,611754000
China,CHN,2012,652180000
China,CHN,2013,642600000
China,CHN,2014,653310000
China,CHN,2015,599360000
China,CHN,2016,618500000
China,CHN,2017,655938000
China,CHN,2018,695112000
China,CHN,2019,690942000
China,CHN,2020,701935000
China,CHN,2021,713437000
China (FAO),,1961,18948000
China (FAO),,1962,20874000
China (FAO),,1963,22855000
China (FAO),,1964,24903000
China (FAO),,1965,27082000
China (FAO),,1966,29029000
China (FAO),,1967,30794000
China (FAO),,1968,33018000
China (FAO),,1969,34999000
China (FAO),,1970,36968000
China (FAO),,1971,38835000
China (FAO),,1972,40797000
China (FAO),,1973,42736000
China (FAO),,1974,44720000
China (FAO),,1975,46697000
China (FAO),,1976,48705000
China (FAO),,1977,50793000
China (FAO),,1978,52920000
China (FAO),,1979,54954000
China (FAO),,1980,56855000
China (FAO),,1981,58798000
China (FAO),,1982,61144000
China (FAO),,1983,63334000
China (FAO),,1984,64529000
China (FAO),,1985,65186000
China (FAO),,1986,74266000
China (FAO),,1987,86923000
China (FAO),,1988,118942000
China (FAO),,1989,125140000
China (FAO),,1990,142806000
China (FAO),,1991,181654000
China (FAO),,1992,185710000
China (FAO),,1993,212427000
China (FAO),,1994,233549000
China (FAO),,1995,332766000
China (FAO),,1996,341599000
China (FAO),,1997,378503000
China (FAO),,1998,415985000
China (FAO),,1999,430192000
China (FAO),,2000,437521000
China (FAO),,2001,438339000
China (FAO),,2002,426202000
China (FAO),,2003,441426000
China (FAO),,2004,449545000
China (FAO),,2005,484464000
China (FAO),,2006,485744000
China (FAO),,2007,535897000
China (FAO),,2008,550730000
China (FAO),,2009,584057000
China (FAO),,2010,599104000
China (FAO),,2011,616908000
China (FAO),,2012,657133000
China (FAO),,2013,647784000
China (FAO),,2014,658882000
China (FAO),,2015,600767000
China (FAO),,2016,620080000
China (FAO),,2017,658345000
China (FAO),,2018,697891000
China (FAO),,2019,693951000
China (FAO),,2020,705788000
China (FAO),,2021,717106000
Croatia,HRV,1992,800000
Croatia,HRV,1993,720000
Croatia,HRV,1994,800000
Croatia,HRV,1995,700000
Croatia,HRV,1996,500000
Croatia,HRV,1997,400000
Croatia,HRV,1998,300000
Croatia,HRV,1999,270000
Croatia,HRV,2000,270000
Croatia,HRV,2001,270000
Croatia,HRV,2002,270000
Croatia,HRV,2003,270000
Croatia,HRV,2004,270000
Croatia,HRV,2005,210000
Croatia,HRV,2006,200000
Croatia,HRV,2007,210000
Croatia,HRV,2008,210000
Croatia,HRV,2009,190000
Croatia,HRV,2010,140000
Croatia,HRV,2011,175000
Croatia,HRV,2012,260000
Croatia,HRV,2013,100000
Croatia,HRV,2014,100000
Croatia,HRV,2015,153000
Croatia,HRV,2016,129000
Croatia,HRV,2017,129000
Czechia,CZE,1993,1125000
Czechia,CZE,1994,1170000
Czechia,CZE,1995,1200000
Czechia,CZE,1996,1225000
Czechia,CZE,1997,1175000
Czechia,CZE,1998,1200000
Czechia,CZE,1999,1250000
Czechia,CZE,2000,1125000
Czechia,CZE,2001,1380000
Czechia,CZE,2002,384000
Czechia,CZE,2003,433000
Czechia,CZE,2004,454000
Czechia,CZE,2005,468000
Czechia,CZE,2006,366000
Czechia,CZE,2007,276000
Czechia,CZE,2008,338000
Czechia,CZE,2009,400000
Czechia,CZE,2010,400000
Czechia,CZE,2011,200000
Czechia,CZE,2012,161000
Czechia,CZE,2013,162000
Czechia,CZE,2014,161000
Czechia,CZE,2015,103000
Czechia,CZE,2016,97000
Czechia,CZE,2017,119000
Czechia,CZE,2018,126000
Czechoslovakia,OWID_CZS,1961,1790000
Czechoslovakia,OWID_CZS,1962,1690000
Czechoslovakia,OWID_CZS,1963,1630000
Czechoslovakia,OWID_CZS,1964,1890000
Czechoslovakia,OWID_CZS,1965,1910000
Czechoslovakia,OWID_CZS,1966,1800000
Czechoslovakia,OWID_CZS,1967,1810000
Czechoslovakia,OWID_CZS,1968,1710000
Czechoslovakia,OWID_CZS,1969,1570000
Czechoslovakia,OWID_CZS,1970,1440000
Czechoslovakia,OWID_CZS,1971,1420000
Czechoslovakia,OWID_CZS,1972,1340000
Czechoslovakia,OWID_CZS,1973,1300000
Czechoslovakia,OWID_CZS,1974,1150000
Czechoslovakia,OWID_CZS,1975,990000
Czechoslovakia,OWID_CZS,1976,970000
Czechoslovakia,OWID_CZS,1977,1030000
Czechoslovakia,OWID_CZS,1978,970000
Czechoslovakia,OWID_CZS,1979,890000
Czechoslovakia,OWID_CZS,1980,930000
Czechoslovakia,OWID_CZS,1981,860000
Czechoslovakia,OWID_CZS,1982,890000
Czechoslovakia,OWID_CZS,1983,860000
Czechoslovakia,OWID_CZS,1984,870000
Czechoslovakia,OWID_CZS,1985,700000
Czechoslovakia,OWID_CZS,1986,700000
Czechoslovakia,OWID_CZS,1987,600000
Czechoslovakia,OWID_CZS,1988,600000
Czechoslovakia,OWID_CZS,1989,630000
Czechoslovakia,OWID_CZS,1990,630000
Czechoslovakia,OWID_CZS,1991,630000
Czechoslovakia,OWID_CZS,1992,630000
Denmark,DNK,1961,150000
Denmark,DNK,1962,150000
Denmark,DNK,1963,100000
Denmark,DNK,1964,110000
Denmark,DNK,1965,160000
Denmark,DNK,1966,153000
Denmark,DNK,1967,123000
Denmark,DNK,1968,117000
Denmark,DNK,1969,125000
Denmark,DNK,1970,123000
Denmark,DNK,1971,113000
Denmark,DNK,1972,117000
Denmark,DNK,1973,134000
Denmark,DNK,1974,99000
Denmark,DNK,1975,57000
Denmark,DNK,1976,58000
Denmark,DNK,1977,93000
Denmark,DNK,1978,105000
Denmark,DNK,1979,48000
Denmark,DNK,1980,62000
Denmark,DNK,1981,90000
Denmark,DNK,1982,119000
Denmark,DNK,1983,125000
Denmark,DNK,1984,23000
Denmark,DNK,1985,28000
Denmark,DNK,1986,34000
Denmark,DNK,1987,47000
Denmark,DNK,1988,30000
Denmark,DNK,1989,24000
Denmark,DNK,1990,17000
Denmark,DNK,1991,20000
Denmark,DNK,1992,32000
Denmark,DNK,1993,36000
Denmark,DNK,1994,10000
Denmark,DNK,1995,10000
Denmark,DNK,1996,29000
Denmark,DNK,1997,19000
Denmark,DNK,1998,19000
Denmark,DNK,1999,25000
Denmark,DNK,2000,19000
Denmark,DNK,2001,19000
Denmark,DNK,2002,23000
Denmark,DNK,2003,19000
Denmark,DNK,2004,19000
Denmark,DNK,2005,10000
Denmark,DNK,2006,10000
Denmark,DNK,2007,10000
Denmark,DNK,2008,10000
Denmark,DNK,2009,10000
Denmark,DNK,2010,10000
Denmark,DNK,2011,10000
Denmark,DNK,2012,7000
Denmark,DNK,2013,10000
Denmark,DNK,2014,10000
Denmark,DNK,2015,8000
Denmark,DNK,2016,12000
Denmark,DNK,2017,9000
Denmark,DNK,2018,8000
Denmark,DNK,2019,4000
Denmark,DNK,2021,5000
Eastern Africa (FAO),,1961,2102000
Eastern Africa (FAO),,1962,2172000
Eastern Africa (FAO),,1963,2242000
Eastern Africa (FAO),,1964,2311000
Eastern Africa (FAO),,1965,2381000
Eastern Africa (FAO),,1966,2451000
Eastern Africa (FAO),,1967,2521000
Eastern Africa (FAO),,1968,2591000
Eastern Africa (FAO),,1969,2661000
Eastern Africa (FAO),,1970,2801000
Eastern Africa (FAO),,1971,2871000
Eastern Africa (FAO),,1972,2941000
Eastern Africa (FAO),,1973,3011000
Eastern Africa (FAO),,1974,2802000
Eastern Africa (FAO),,1975,3082000
Eastern Africa (FAO),,1976,2942000
Eastern Africa (FAO),,1977,2942000
Eastern Africa (FAO),,1978,3222000
Eastern Africa (FAO),,1979,3222000
Eastern Africa (FAO),,1980,2522000
Eastern Africa (FAO),,1981,2522000
Eastern Africa (FAO),,1982,2382000
Eastern Africa (FAO),,1983,2242000
Eastern Africa (FAO),,1984,2242000
Eastern Africa (FAO),,1985,2942000
Eastern Africa (FAO),,1986,3082000
Eastern Africa (FAO),,1987,2522000
Eastern Africa (FAO),,1988,2802000
Eastern Africa (FAO),,1989,2662000
Eastern Africa (FAO),,1990,2942000
Eastern Africa (FAO),,1991,3082000
Eastern Africa (FAO),,1992,3083000
