Entity,Code,Year,Buffalo | 00000946 || Stocks | 005111 || animals
Americas (FAO),,2014,1544847
Americas (FAO),,2015,1612642
Americas (FAO),,2016,1627211
Americas (FAO),,2017,1675087
Americas (FAO),,2018,1856015
Americas (FAO),,2019,1985331
Americas (FAO),,2020,1924266
Americas (FAO),,2021,2010831
Armenia,ARM,1992,325
Armenia,ARM,1993,336
Armenia,ARM,1994,579
Armenia,ARM,1995,698
Armenia,ARM,1996,602
Armenia,ARM,1997,643
Armenia,ARM,1998,482
Armenia,ARM,1999,460
Armenia,ARM,2000,436
Armenia,ARM,2001,486
Armenia,ARM,2002,538
Armenia,ARM,2003,473
Armenia,ARM,2004,392
Armenia,ARM,2005,402
Armenia,ARM,2006,399
Armenia,ARM,2007,527
Armenia,ARM,2008,497
Armenia,ARM,2009,440
Armenia,ARM,2010,455
Armenia,ARM,2011,460
Armenia,ARM,2012,472
Armenia,ARM,2013,531
Armenia,ARM,2014,731
Armenia,ARM,2015,720
Armenia,ARM,2016,691
Armenia,ARM,2017,715
Armenia,ARM,2018,717
Armenia,ARM,2019,670
Armenia,ARM,2020,690
Armenia,ARM,2021,698
Asia,,1961,86019158
Asia,,1962,86951863
Asia,,1963,87417333
Asia,,1964,91010969
Asia,,1965,92022025
Asia,,1966,96477635
Asia,,1967,98710727
Asia,,1968,101664355
Asia,,1969,103444902
Asia,,1970,104474437
Asia,,1971,105855906
Asia,,1972,106735980
Asia,,1973,108187155
Asia,,1974,110012747
Asia,,1975,109893271
Asia,,1976,110616171
Asia,,1977,111619684
Asia,,1978,113290019
Asia,,1979,115578674
Asia,,1980,118085115
Asia,,1981,120738422
Asia,,1982,123988305
Asia,,1983,126539656
Asia,,1984,129427556
Asia,,1985,132394631
Asia,,1986,137823551
Asia,,1987,137657858
Asia,,1988,139411616
Asia,,1989,141240563
Asia,,1990,143302442
Asia,,1991,145144572
Asia,,1992,148358672
Asia,,1993,149834792
Asia,,1994,151748010
Asia,,1995,153700736
Asia,,1996,155073839
Asia,,1997,152815109
Asia,,1998,156277720
Asia,,1999,157615193
Asia,,2000,159383735
Asia,,2001,161388335
Asia,,2002,163663878
Asia,,2003,166343094
Asia,,2004,168750093
Asia,,2005,171675348
Asia,,2006,175330333
Asia,,2007,178619800
Asia,,2008,180300435
Asia,,2009,188830973
Asia,,2010,188677678
Asia,,2011,189580061
Asia,,2012,190646084
Asia,,2013,191142350
Asia,,2014,192445274
Asia,,2015,193978181
Asia,,2016,195475007
Asia,,2017,195990494
Asia,,2018,195209158
Asia,,2019,196562326
Asia,,2020,197428966
Asia,,2021,200182693
Asia (FAO),,1961,86019160
Asia (FAO),,1962,86951864
Asia (FAO),,1963,87417336
Asia (FAO),,1964,91010968
Asia (FAO),,1965,92022024
Asia (FAO),,1966,96477632
Asia (FAO),,1967,98710728
Asia (FAO),,1968,101664352
Asia (FAO),,1969,103444904
Asia (FAO),,1970,104474440
Asia (FAO),,1971,105855904
Asia (FAO),,1972,106735984
Asia (FAO),,1973,108187152
Asia (FAO),,1974,110012744
Asia (FAO),,1975,109893272
Asia (FAO),,1976,110616168
Asia (FAO),,1977,111619680
Asia (FAO),,1978,113290016
Asia (FAO),,1979,115578672
Asia (FAO),,1980,118085112
Asia (FAO),,1981,120738424
Asia (FAO),,1982,123988304
Asia (FAO),,1983,126539656
Asia (FAO),,1984,129427552
Asia (FAO),,1985,132394632
Asia (FAO),,1986,137823552
Asia (FAO),,1987,137657856
Asia (FAO),,1988,139411616
Asia (FAO),,1989,141240560
Asia (FAO),,1990,143302448
Asia (FAO),,1991,145144576
Asia (FAO),,1992,148358672
Asia (FAO),,1993,149834784
Asia (FAO),,1994,151748016
Asia (FAO),,1995,153700736
Asia (FAO),,1996,155073840
Asia (FAO),,1997,152815104
Asia (FAO),,1998,156277728
Asia (FAO),,1999,157615200
Asia (FAO),,2000,159383728
Asia (FAO),,2001,161388336
Asia (FAO),,2002,163663872
Asia (FAO),,2003,166343088
Asia (FAO),,2004,168750096
Asia (FAO),,2005,171675344
Asia (FAO),,2006,175330336
Asia (FAO),,2007,178619808
Asia (FAO),,2008,180300432
Asia (FAO),,2009,188830976
Asia (FAO),,2010,188677680
Asia (FAO),,2011,189580064
Asia (FAO),,2012,190646080
Asia (FAO),,2013,191142352
Asia (FAO),,2014,192445280
Asia (FAO),,2015,193978176
Asia (FAO),,2016,195475008
Asia (FAO),,2017,195990496
Asia (FAO),,2018,195209168
Asia (FAO),,2019,196562320
Asia (FAO),,2020,197428960
Asia (FAO),,2021,200182688
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0
Australia,AUS,1994,0
Australia,AUS,1995,0
Australia,AUS,1996,0
Australia,AUS,1997,0
Australia,AUS,1998,0
Australia,AUS,1999,0
Australia,AUS,2000,0
Australia,AUS,2001,0
Australia,AUS,2002,0
Australia,AUS,2003,0
Australia,AUS,2004,0
Australia,AUS,2005,0
Australia,AUS,2006,0
Australia,AUS,2007,0
Australia,AUS,2008,0
Australia,AUS,2009,0
Australia,AUS,2010,0
Australia,AUS,2011,0
Australia,AUS,2012,0
Australia,AUS,2013,0
Australia,AUS,2014,0
Australia,AUS,2015,0
Australia,AUS,2016,0
Australia,AUS,2017,0
Australia,AUS,2018,0
Australia,AUS,2019,0
Australia,AUS,2020,0
Australia,AUS,2021,0
Azerbaijan,AZE,1992,292900
Azerbaijan,AZE,1993,297600
Azerbaijan,AZE,1994,290900
Azerbaijan,AZE,1995,291900
Azerbaijan,AZE,1996,298000
Azerbaijan,AZE,1997,302000
Azerbaijan,AZE,1998,293300
Azerbaijan,AZE,1999,292144
Azerbaijan,AZE,2000,296981
Azerbaijan,AZE,2001,298649
Azerbaijan,AZE,2002,303559
Azerbaijan,AZE,2003,306356
Azerbaijan,AZE,2004,307359
Azerbaijan,AZE,2005,308551
Azerbaijan,AZE,2006,302887
Azerbaijan,AZE,2007,299121
Azerbaijan,AZE,2008,298975
Azerbaijan,AZE,2009,288832
Azerbaijan,AZE,2010,277400
Azerbaijan,AZE,2011,269386
Azerbaijan,AZE,2012,265872
Azerbaijan,AZE,2013,260889
Azerbaijan,AZE,2014,252317
Azerbaijan,AZE,2015,242294
Azerbaijan,AZE,2016,214224
Azerbaijan,AZE,2017,196651
Azerbaijan,AZE,2018,176195
Azerbaijan,AZE,2019,162475
Azerbaijan,AZE,2020,146652
Azerbaijan,AZE,2021,129137
Bangladesh,BGD,1961,500000
Bangladesh,BGD,1962,550000
Bangladesh,BGD,1963,600000
Bangladesh,BGD,1964,641000
Bangladesh,BGD,1965,630000
Bangladesh,BGD,1966,650000
Bangladesh,BGD,1967,700000
Bangladesh,BGD,1968,780000
Bangladesh,BGD,1969,800000
Bangladesh,BGD,1970,835000
Bangladesh,BGD,1971,700000
Bangladesh,BGD,1972,580000
Bangladesh,BGD,1973,445000
Bangladesh,BGD,1974,445000
Bangladesh,BGD,1975,445000
Bangladesh,BGD,1976,445000
Bangladesh,BGD,1977,469000
Bangladesh,BGD,1978,429000
Bangladesh,BGD,1979,529000
Bangladesh,BGD,1980,475000
Bangladesh,BGD,1981,476000
Bangladesh,BGD,1982,478000
Bangladesh,BGD,1983,479000
Bangladesh,BGD,1984,578209
Bangladesh,BGD,1985,605000
Bangladesh,BGD,1986,634000
Bangladesh,BGD,1987,664000
Bangladesh,BGD,1988,698000
Bangladesh,BGD,1989,733000
Bangladesh,BGD,1990,772000
Bangladesh,BGD,1991,807000
Bangladesh,BGD,1992,832000
Bangladesh,BGD,1993,866000
Bangladesh,BGD,1994,874000
Bangladesh,BGD,1995,882000
Bangladesh,BGD,1996,860000
Bangladesh,BGD,1997,854000
Bangladesh,BGD,1998,820000
Bangladesh,BGD,1999,850000
Bangladesh,BGD,2000,890000
Bangladesh,BGD,2001,920000
Bangladesh,BGD,2002,970000
Bangladesh,BGD,2003,1010000
Bangladesh,BGD,2004,1060000
Bangladesh,BGD,2005,1110000
Bangladesh,BGD,2006,1160000
Bangladesh,BGD,2007,1210000
Bangladesh,BGD,2008,1260000
Bangladesh,BGD,2009,1304000
Bangladesh,BGD,2010,1349000
Bangladesh,BGD,2011,1394000
Bangladesh,BGD,2012,1443000
Bangladesh,BGD,2013,1465000
Bangladesh,BGD,2014,1457000
Bangladesh,BGD,2015,1464000
Bangladesh,BGD,2016,1471000
Bangladesh,BGD,2017,1478000
Bangladesh,BGD,2018,1485000
Bangladesh,BGD,2019,1490000
Bangladesh,BGD,2020,1493000
Bangladesh,BGD,2021,1500000
Bhutan,BTN,1961,3000
Bhutan,BTN,1962,3000
Bhutan,BTN,1963,3100
Bhutan,BTN,1964,3300
Bhutan,BTN,1965,3400
Bhutan,BTN,1966,3400
Bhutan,BTN,1967,3450
Bhutan,BTN,1968,3500
Bhutan,BTN,1969,3600
Bhutan,BTN,1970,3700
Bhutan,BTN,1971,3700
Bhutan,BTN,1972,3800
Bhutan,BTN,1973,3900
Bhutan,BTN,1974,3800
Bhutan,BTN,1975,4000
Bhutan,BTN,1976,4500
Bhutan,BTN,1977,4500
Bhutan,BTN,1978,4600
Bhutan,BTN,1979,4800
Bhutan,BTN,1980,5000
Bhutan,BTN,1981,5500
Bhutan,BTN,1982,5600
Bhutan,BTN,1983,5736
Bhutan,BTN,1984,5600
Bhutan,BTN,1985,5500
Bhutan,BTN,1986,5300
Bhutan,BTN,1987,5200
Bhutan,BTN,1988,4300
Bhutan,BTN,1989,4700
Bhutan,BTN,1990,4300
Bhutan,BTN,1991,2600
Bhutan,BTN,1992,895
Bhutan,BTN,1993,1200
Bhutan,BTN,1994,1513
Bhutan,BTN,1995,1206
Bhutan,BTN,1996,2889
Bhutan,BTN,1997,3244
Bhutan,BTN,1998,2700
Bhutan,BTN,1999,1790
Bhutan,BTN,2000,2200
Bhutan,BTN,2001,2000
Bhutan,BTN,2002,1800
Bhutan,BTN,2003,1900
Bhutan,BTN,2004,1800
Bhutan,BTN,2005,1750
Bhutan,BTN,2006,54594
Bhutan,BTN,2007,53051
Bhutan,BTN,2008,99224
Bhutan,BTN,2009,46134
Bhutan,BTN,2010,44488
Bhutan,BTN,2011,47283
Bhutan,BTN,2012,44011
Bhutan,BTN,2013,47155
Bhutan,BTN,2014,46740
Bhutan,BTN,2015,47819
Bhutan,BTN,2016,50726
Bhutan,BTN,2017,51386
Bhutan,BTN,2018,52015
Bhutan,BTN,2019,52750
Bhutan,BTN,2020,52365
Bhutan,BTN,2021,50535
Brazil,BRA,1961,63000
Brazil,BRA,1962,68000
Brazil,BRA,1963,61000
Brazil,BRA,1964,63000
Brazil,BRA,1965,82000
Brazil,BRA,1966,87000
Brazil,BRA,1967,91000
Brazil,BRA,1968,96000
Brazil,BRA,1969,106000
Brazil,BRA,1970,118000
Brazil,BRA,1971,129000
Brazil,BRA,1972,140000
Brazil,BRA,1973,159000
Brazil,BRA,1974,203000
Brazil,BRA,1975,267000
Brazil,BRA,1976,320000
Brazil,BRA,1977,343000
Brazil,BRA,1978,393000
Brazil,BRA,1979,474000
Brazil,BRA,1980,495000
Brazil,BRA,1981,542000
Brazil,BRA,1982,623574
Brazil,BRA,1983,702182
Brazil,BRA,1984,804478
Brazil,BRA,1985,882142
Brazil,BRA,1986,984811
Brazil,BRA,1987,1082128
Brazil,BRA,1988,1181219
Brazil,BRA,1989,1285043
Brazil,BRA,1990,1397097
Brazil,BRA,1991,1432112
Brazil,BRA,1992,1423348
Brazil,BRA,1993,1498890
Brazil,BRA,1994,1571349
Brazil,BRA,1995,1641950
Brazil,BRA,1996,1046106
Brazil,BRA,1997,977767
Brazil,BRA,1998,1017246
Brazil,BRA,1999,1068059
Brazil,BRA,2000,1102551
Brazil,BRA,2001,1118823
Brazil,BRA,2002,1113400
Brazil,BRA,2003,1148808
Brazil,BRA,2004,1133622
Brazil,BRA,2005,1173629
Brazil,BRA,2006,1156870
Brazil,BRA,2007,1131986
Brazil,BRA,2008,1146690
Brazil,BRA,2009,1135191
Brazil,BRA,2010,1184511
Brazil,BRA,2011,1278075
Brazil,BRA,2012,1261922
Brazil,BRA,2013,1332284
Brazil,BRA,2014,1319478
Brazil,BRA,2015,1370488
Brazil,BRA,2016,1371089
Brazil,BRA,2017,1375168
Brazil,BRA,2018,1389873
Brazil,BRA,2019,1433989
Brazil,BRA,2020,1502482
Brazil,BRA,2021,1551618
Brunei,BRN,1961,14430
Brunei,BRN,1962,15500
Brunei,BRN,1963,14000
Brunei,BRN,1964,11739
Brunei,BRN,1965,10296
Brunei,BRN,1966,13585
Brunei,BRN,1967,14221
Brunei,BRN,1968,15132
Brunei,BRN,1969,15709
Brunei,BRN,1970,16000
Brunei,BRN,1971,15773
Brunei,BRN,1972,15500
Brunei,BRN,1973,15000
Brunei,BRN,1974,16000
Brunei,BRN,1975,14000
Brunei,BRN,1976,13000
Brunei,BRN,1977,13000
Brunei,BRN,1978,13000
Brunei,BRN,1979,13000
Brunei,BRN,1980,13000
Brunei,BRN,1981,12000
Brunei,BRN,1982,11500
Brunei,BRN,1983,11000
Brunei,BRN,1984,11000
Brunei,BRN,1985,11000
Brunei,BRN,1986,3897
Brunei,BRN,1987,4105
Brunei,BRN,1988,4836
Brunei,BRN,1989,5234
Brunei,BRN,1990,3392
Brunei,BRN,1991,4036
Brunei,BRN,1992,3800
Brunei,BRN,1993,3459
Brunei,BRN,1994,3549
Brunei,BRN,1995,3912
Brunei,BRN,1996,4002
Brunei,BRN,1997,5953
Brunei,BRN,1998,5899
Brunei,BRN,1999,5812
Brunei,BRN,2000,5150
Brunei,BRN,2001,5748
Brunei,BRN,2002,5565
Brunei,BRN,2003,5903
Brunei,BRN,2004,4675
Brunei,BRN,2005,4790
Brunei,BRN,2006,4685
Brunei,BRN,2007,4670
Brunei,BRN,2008,4885
Brunei,BRN,2009,4116
Brunei,BRN,2010,4124
Brunei,BRN,2011,2550
Brunei,BRN,2012,2439
Brunei,BRN,2013,2350
Brunei,BRN,2014,2516
Brunei,BRN,2015,2942
Brunei,BRN,2016,2756
Brunei,BRN,2017,2679
Brunei,BRN,2018,2319
Brunei,BRN,2019,2292
Brunei,BRN,2020,2300
Brunei,BRN,2021,1311
Bulgaria,BGR,1961,189924
Bulgaria,BGR,1962,201060
Bulgaria,BGR,1963,177298
Bulgaria,BGR,1964,146622
Bulgaria,BGR,1965,137704
Bulgaria,BGR,1966,126595
Bulgaria,BGR,1967,107398
Bulgaria,BGR,1968,98707
Bulgaria,BGR,1969,89173
Bulgaria,BGR,1970,77316
Bulgaria,BGR,1971,74293
Bulgaria,BGR,1972,74097
Bulgaria,BGR,1973,71003
Bulgaria,BGR,1974,66991
Bulgaria,BGR,1975,67506
Bulgaria,BGR,1976,68589
Bulgaria,BGR,1977,65388
Bulgaria,BGR,1978,60990
Bulgaria,BGR,1979,55588
Bulgaria,BGR,1980,52096
Bulgaria,BGR,1981,47528
Bulgaria,BGR,1982,43987
Bulgaria,BGR,1983,39822
Bulgaria,BGR,1984,35972
Bulgaria,BGR,1985,32736
Bulgaria,BGR,1986,29028
Bulgaria,BGR,1987,26332
Bulgaria,BGR,1988,24297
Bulgaria,BGR,1989,23487
Bulgaria,BGR,1990,23046
Bulgaria,BGR,1991,25517
Bulgaria,BGR,1992,25164
Bulgaria,BGR,1993,22109
Bulgaria,BGR,1994,17251
Bulgaria,BGR,1995,13666
Bulgaria,BGR,1996,13707
Bulgaria,BGR,1997,11438
Bulgaria,BGR,1998,10553
Bulgaria,BGR,1999,10365
Bulgaria,BGR,2000,9277
Bulgaria,BGR,2001,7790
Bulgaria,BGR,2002,6529
Bulgaria,BGR,2003,7489
Bulgaria,BGR,2004,7875
Bulgaria,BGR,2005,7973
Bulgaria,BGR,2006,8198
Bulgaria,BGR,2007,8247
Bulgaria,BGR,2008,8968
Bulgaria,BGR,2009,9222
Bulgaria,BGR,2010,8311
Bulgaria,BGR,2011,9241
Bulgaria,BGR,2012,9887
Bulgaria,BGR,2013,9212
Bulgaria,BGR,2014,9964
Bulgaria,BGR,2015,9555
Bulgaria,BGR,2016,10843
Bulgaria,BGR,2017,12273
Bulgaria,BGR,2018,15630
Bulgaria,BGR,2019,16730
Bulgaria,BGR,2020,20180
Bulgaria,BGR,2021,21690
Cambodia,KHM,1961,520000
Cambodia,KHM,1962,550000
Cambodia,KHM,1963,580000
Cambodia,KHM,1964,300000
Cambodia,KHM,1965,300000
Cambodia,KHM,1966,470000
Cambodia,KHM,1967,784000
Cambodia,KHM,1968,856000
Cambodia,KHM,1969,898000
Cambodia,KHM,1970,910000
Cambodia,KHM,1971,860000
Cambodia,KHM,1972,820000
Cambodia,KHM,1973,770000
Cambodia,KHM,1974,720000
Cambodia,KHM,1975,600000
Cambodia,KHM,1976,500000
Cambodia,KHM,1977,400000
Cambodia,KHM,1978,380000
Cambodia,KHM,1979,349500
Cambodia,KHM,1980,375000
Cambodia,KHM,1981,404000
Cambodia,KHM,1982,482000
Cambodia,KHM,1983,540000
Cambodia,KHM,1984,603000
Cambodia,KHM,1985,613000
Cambodia,KHM,1986,635000
Cambodia,KHM,1987,659000
Cambodia,KHM,1988,709000
Cambodia,KHM,1989,739000
Cambodia,KHM,1990,736000
Cambodia,KHM,1991,755300
Cambodia,KHM,1992,804000
Cambodia,KHM,1993,823700
Cambodia,KHM,1994,809517
Cambodia,KHM,1995,764708
Cambodia,KHM,1996,743928
Cambodia,KHM,1997,766300
Cambodia,KHM,1998,693651
Cambodia,KHM,1999,653850
Cambodia,KHM,2000,693631
Cambodia,KHM,2001,626016
Cambodia,KHM,2002,625912
Cambodia,KHM,2003,660493
Cambodia,KHM,2004,650572
Cambodia,KHM,2005,676646
Cambodia,KHM,2006,724378
Cambodia,KHM,2007,772780
Cambodia,KHM,2008,746207
Cambodia,KHM,2009,739646
Cambodia,KHM,2010,702074
Cambodia,KHM,2011,689829
Cambodia,KHM,2012,680000
Cambodia,KHM,2013,676000
Cambodia,KHM,2014,680000
Cambodia,KHM,2015,682000
Cambodia,KHM,2016,680574
Cambodia,KHM,2017,678842
Cambodia,KHM,2018,676634
Cambodia,KHM,2019,678294
Cambodia,KHM,2020,676779
Cambodia,KHM,2021,675264
Caribbean (FAO),,1961,4800
Caribbean (FAO),,1962,4900
Caribbean (FAO),,1963,5000
Caribbean (FAO),,1964,5100
Caribbean (FAO),,1965,5200
Caribbean (FAO),,1966,5300
Caribbean (FAO),,1967,5500
Caribbean (FAO),,1968,6000
Caribbean (FAO),,1969,6300
Caribbean (FAO),,1970,6400
Caribbean (FAO),,1971,6500
Caribbean (FAO),,1972,6600
Caribbean (FAO),,1973,6800
Caribbean (FAO),,1974,7000
Caribbean (FAO),,1975,7200
Caribbean (FAO),,1976,7400
Caribbean (FAO),,1977,7600
Caribbean (FAO),,1978,7800
Caribbean (FAO),,1979,7800
Caribbean (FAO),,1980,8000
Caribbean (FAO),,1981,8200
Caribbean (FAO),,1982,8300
Caribbean (FAO),,1983,8400
Caribbean (FAO),,1984,8400
Caribbean (FAO),,1985,8400
Caribbean (FAO),,1986,8500
Caribbean (FAO),,1987,8600
Caribbean (FAO),,1988,8700
Caribbean (FAO),,1989,8200
Caribbean (FAO),,1990,7500
Caribbean (FAO),,1991,6500
Caribbean (FAO),,1992,6000
Caribbean (FAO),,1993,5400
Caribbean (FAO),,1994,5400
Caribbean (FAO),,1995,5400
Caribbean (FAO),,1996,5400
Caribbean (FAO),,1997,5400
Caribbean (FAO),,1998,5400
Caribbean (FAO),,1999,5400
Caribbean (FAO),,2000,5450
Caribbean (FAO),,2001,5500
Caribbean (FAO),,2002,5600
Caribbean (FAO),,2003,5650
Caribbean (FAO),,2004,5700
Caribbean (FAO),,2005,5700
Caribbean (FAO),,2006,5700
Caribbean (FAO),,2007,5700
Caribbean (FAO),,2008,5800
Caribbean (FAO),,2009,5900
Caribbean (FAO),,2010,5900
Caribbean (FAO),,2011,5900
Caribbean (FAO),,2012,6000
Caribbean (FAO),,2013,6100
Caribbean (FAO),,2014,6200
Caribbean (FAO),,2015,6295
Caribbean (FAO),,2016,6385
Caribbean (FAO),,2017,6468
Caribbean (FAO),,2018,6151
Caribbean (FAO),,2019,6213
Caribbean (FAO),,2020,6246
Caribbean (FAO),,2021,6279
Central Asia (FAO),,1992,25864
Central Asia (FAO),,1993,25232
Central Asia (FAO),,1994,23300
Central Asia (FAO),,1995,23166
Central Asia (FAO),,1996,17270
Central Asia (FAO),,1997,23567
Central Asia (FAO),,1998,23566
Central Asia (FAO),,1999,23486
Central Asia (FAO),,2000,22189
Central Asia (FAO),,2001,24000
Central Asia (FAO),,2002,25272
Central Asia (FAO),,2003,24952
Central Asia (FAO),,2004,23367
Central Asia (FAO),,2005,23550
Central Asia (FAO),,2006,24600
Central Asia (FAO),,2007,25000
Central Asia (FAO),,2008,25000
Central Asia (FAO),,2009,25000
Central Asia (FAO),,2010,25000
Central Asia (FAO),,2011,25000
Central Asia (FAO),,2012,25000
Central Asia (FAO),,2013,25000
Central Asia (FAO),,2014,25000
Central Asia (FAO),,2015,25214
Central Asia (FAO),,2016,25469
